Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
5dir,ProcessParent,Contractive,0.3737,0.011,0.0667,0.1111,0.0833,0.99,0.006
cadets,ProcessAll,Baseline,0.9995,0.276,0.4167,0.4545,0.4348,0.9997,0.0475
cadets,ProcessAll,Sparse,0.9202,0.0064,0.0217,0.0909,0.0351,0.9988,0.0471
cadets,ProcessAll,Deep SVDD,0.6816,0.0504,0.1538,0.3636,0.2162,0.9994,0.0214
cadets,ProcessAll,DAE,0.9516,0.0048,0.0118,0.2727,0.0226,0.9942,0.0437
cadets,ProcessAll,VAE,0.9074,0.004,0.0137,0.0909,0.0238,0.9982,0.0479
cadets,ProcessAll,Beta-VAE,0.9182,0.0049,0.0139,0.0909,0.0241,0.9982,0.0474
cadets,ProcessAll,GMVAE,0.8636,0.0011,0.0018,0.5455,0.0036,0.9253,0.0488
cadets,ProcessAll,Attention AE,0.9179,0.0064,0.0222,0.0909,0.0357,0.9988,0.0674
cadets,ProcessAll,LSTMAE,0.9994,0.3183,0.4,0.5455,0.4615,0.9997,0.056
cadets,ProcessAll,Robust,0.9989,0.2829,0.4167,0.4545,0.4348,0.9997,0.0424
cadets,ProcessAll,Contractive,0.9182,0.0068,0.027,0.0909,0.0417,0.999,0.044
cadets,ProcessEvent,Baseline,0.8904,0.0027,0.0056,0.3636,0.011,0.984,0.043
cadets,ProcessEvent,Sparse,0.8021,0.0008,0.0015,0.6364,0.0029,0.8931,0.0423
cadets,ProcessEvent,Deep SVDD,0.4999,0.0002,0.0002,1.0,0.0005,0.0003,0.0202
cadets,ProcessEvent,DAE,0.7901,0.0007,0.0011,0.6364,0.0022,0.8556,0.041
cadets,ProcessEvent,VAE,0.7963,0.0008,0.0014,0.6364,0.0028,0.8879,0.0468
cadets,ProcessEvent,Beta-VAE,0.8038,0.0009,0.0014,0.6364,0.0028,0.8871,0.0457
cadets,ProcessEvent,GMVAE,0.8031,0.0008,0.0015,0.6364,0.003,0.896,0.0448
cadets,ProcessEvent,Attention AE,0.7998,0.0008,0.0014,0.6364,0.0028,0.889,0.0651
cadets,ProcessEvent,LSTMAE,0.8986,0.0025,0.0053,0.2727,0.0104,0.9873,0.0548
cadets,ProcessEvent,Robust,0.8888,0.0027,0.0067,0.3636,0.0131,0.9866,0.0425
cadets,ProcessEvent,Contractive,0.8024,0.0009,0.0014,0.6364,0.0028,0.8903,0.0417
cadets,ProcessExec,Baseline,0.9987,0.5686,0.7,0.6364,0.6667,0.9998,0.0419
cadets,ProcessExec,Sparse,0.9321,0.0278,0.0676,0.4545,0.1176,0.9983,0.046
cadets,ProcessExec,Deep SVDD,0.8181,0.4888,0.5385,0.6364,0.5833,0.9998,0.021
cadets,ProcessExec,DAE,0.9935,0.3511,0.8,0.3636,0.5,0.9998,0.0394
cadets,ProcessExec,VAE,0.9268,0.0057,0.0119,0.4545,0.0231,0.9906,0.0472
cadets,ProcessExec,Beta-VAE,0.9272,0.0052,0.0134,0.4545,0.026,0.9917,0.0455
cadets,ProcessExec,GMVAE,0.9295,0.028,0.0676,0.4545,0.1176,0.9983,0.045
cadets,ProcessExec,Attention AE,0.9289,0.023,0.058,0.3636,0.1,0.9984,0.064
cadets,ProcessExec,LSTMAE,0.9992,0.4794,0.4667,0.6364,0.5385,0.9997,0.052
cadets,ProcessExec,Robust,0.9994,0.4909,0.5833,0.6364,0.6087,0.9998,0.04
cadets,ProcessExec,Contractive,0.9295,0.028,0.0676,0.4545,0.1176,0.9983,0.0397
cadets,ProcessNetflow,Baseline,0.9393,0.2905,0.3636,0.4,0.381,0.9985,0.009
cadets,ProcessNetflow,Sparse,0.8983,0.0231,0.0714,0.1,0.0833,0.9974,0.0116
cadets,ProcessNetflow,Deep SVDD,0.9475,0.4591,0.5714,0.4,0.4706,0.999,0.008
cadets,ProcessNetflow,DAE,0.904,0.0344,0.1667,0.1,0.125,0.9984,0.01
cadets,ProcessNetflow,VAE,0.9035,0.0221,0.1111,0.1,0.1053,0.998,0.0142
