Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
5dir,ProcessParent,Contractive,0.3553,0.0107,0.0667,0.1111,0.0833,0.99,0.007
cadets,ProcessAll,Baseline,0.9997,0.5206,0.5385,0.6364,0.5833,0.9998,0.0504
cadets,ProcessAll,Sparse,0.9227,0.0019,0.0029,0.5455,0.0058,0.954,0.051
cadets,ProcessAll,Deep SVDD,0.818,0.1958,0.3043,0.6364,0.4118,0.9996,0.0254
cadets,ProcessAll,DAE,0.9601,0.0044,0.0068,0.7273,0.0135,0.974,0.0463
cadets,ProcessAll,VAE,0.9225,0.0023,0.0035,0.2727,0.007,0.981,0.0489
cadets,ProcessAll,Beta-VAE,0.9238,0.002,0.0029,0.5455,0.0058,0.9539,0.0483
cadets,ProcessAll,GMVAE,0.967,0.0046,0.0066,0.7273,0.0131,0.9732,0.0532
cadets,ProcessAll,Attention AE,0.9249,0.002,0.0029,0.6364,0.0058,0.9463,0.08
cadets,ProcessAll,LSTMAE,0.9997,0.477,0.4706,0.7273,0.5714,0.9997,0.1062
cadets,ProcessAll,Robust,0.9993,0.2851,0.3077,0.7273,0.4324,0.9995,0.0454
cadets,ProcessAll,Contractive,0.9268,0.002,0.0029,0.6364,0.0058,0.947,0.0465
cadets,ProcessEvent,Baseline,0.9118,0.0039,0.0081,0.1818,0.0154,0.9943,0.0443
cadets,ProcessEvent,Sparse,0.7719,0.0007,0.001,0.7273,0.0021,0.8267,0.0456
cadets,ProcessEvent,Deep SVDD,0.4999,0.0002,0.0002,1.0,0.0005,0.0003,0.022
cadets,ProcessEvent,DAE,0.7654,0.0006,0.0008,0.3636,0.0016,0.8921,0.0474
cadets,ProcessEvent,VAE,0.7622,0.0007,0.0011,0.6364,0.0023,0.8625,0.0505
cadets,ProcessEvent,Beta-VAE,0.7732,0.0007,0.001,0.5455,0.002,0.8664,0.0483
cadets,ProcessEvent,GMVAE,0.776,0.0007,0.0011,0.6364,0.0022,0.8559,0.0481
cadets,ProcessEvent,Attention AE,0.777,0.0007,0.0011,0.6364,0.0021,0.8541,0.0694
cadets,ProcessEvent,LSTMAE,0.9121,0.003,0.0057,0.3636,0.0112,0.9843,0.0578
cadets,ProcessEvent,Robust,0.897,0.0034,0.0064,0.2727,0.0125,0.9895,0.0455
cadets,ProcessEvent,Contractive,0.7818,0.0007,0.0011,0.6364,0.0022,0.86,0.0452
cadets,ProcessExec,Baseline,0.9991,0.6305,0.875,0.6364,0.7368,0.9999,0.0424
cadets,ProcessExec,Sparse,0.935,0.1847,1.0,0.1818,0.3077,0.9998,0.0416
cadets,ProcessExec,Deep SVDD,0.8181,0.6163,1.0,0.5455,0.7059,0.9999,0.022
cadets,ProcessExec,DAE,0.9979,0.1704,0.1087,0.9091,0.1942,0.9981,0.042
cadets,ProcessExec,VAE,0.9401,0.0078,0.0317,0.1818,0.0541,0.9984,0.0485
cadets,ProcessExec,Beta-VAE,0.9485,0.0131,0.0645,0.1818,0.0952,0.9992,0.0478
cadets,ProcessExec,GMVAE,0.9394,0.1848,1.0,0.1818,0.3077,0.9998,0.0477
cadets,ProcessExec,Attention AE,0.947,0.185,1.0,0.1818,0.3077,0.9998,0.0663
cadets,ProcessExec,LSTMAE,0.9992,0.5881,0.7,0.6364,0.6667,0.9998,0.0545
cadets,ProcessExec,Robust,0.9989,0.5538,0.7778,0.6364,0.7,0.9999,0.0413
cadets,ProcessExec,Contractive,0.9484,0.1202,0.2857,0.1818,0.2222,0.9997,0.0416
cadets,ProcessNetflow,Baseline,0.9744,0.5118,0.4444,0.8,0.5714,0.9986,0.011
cadets,ProcessNetflow,Sparse,0.8726,0.0136,0.0224,0.6,0.0432,0.969,0.0121
cadets,ProcessNetflow,Deep SVDD,0.9207,0.4731,0.4211,0.8,0.5517,0.9985,0.008
cadets,ProcessNetflow,DAE,0.9646,0.0505,0.0777,0.8,0.1416,0.9887,0.012
cadets,ProcessNetflow,VAE,0.8699,0.0122,0.0222,0.6,0.0429,0.9688,0.013
cadets,ProcessNetflow,Beta-VAE,0.8875,0.0123,0.0222,0.6,0.0429,0.9688,0.015
cadets,ProcessNetflow,GMVAE,0.9181,0.025,0.0741,0.2,0.1081,0.9962,0.0133
cadets,ProcessNetflow,Attention AE,0.8685,0.0125,0.0222,0.6,0.0429,0.9688,0.0151
cadets,ProcessNetflow,LSTMAE,0.9734,0.386,0.5714,0.4,0.4706,0.999,0.0142
cadets,ProcessNetflow,Robust,0.9738,0.4055,0.5714,0.4,0.4706,0.999,0.011
cadets,ProcessNetflow,Contractive,0.8685,0.0125,0.0223,0.6,0.043,0.9689,0.0103
cadets,ProcessParent,Baseline,0.876,0.3262,0.75,0.375,0.5,0.9999,0.0433
cadets,ProcessParent,Sparse,0.89,0.3444,0.75,0.375,0.5,0.9999,0.0415
cadets,ProcessParent,Deep SVDD,0.6875,0.3022,0.75,0.375,0.5,0.9999,0.0216
cadets,ProcessParent,DAE,0.9502,0.1435,1.0,0.125,0.2222,0.9998,0.042
cadets,ProcessParent,VAE,0.9099,0.038,0.25,0.125,0.1667,0.9998,0.0504
cadets,ProcessParent,Beta-VAE,0.8949,0.0143,0.0588,0.125,0.08,0.9995,0.0487
cadets,ProcessParent,GMVAE,0.9535,0.3778,1.0,0.375,0.5455,0.9999,0.0523
cadets,ProcessParent,Attention AE,0.8714,0.3443,0.75,0.375,0.5,0.9999,0.0656
cadets,ProcessParent,LSTMAE,0.9259,0.4383,1.0,0.375,0.5455,0.9999,0.0539
cadets,ProcessParent,Robust,0.9272,0.4755,0.8,0.5,0.6154,0.9999,0.0414
cadets,ProcessParent,Contractive,0.9091,0.3756,1.0,0.375,0.5455,0.9999,0.042
clearscope,ProcessAll,Baseline,0.9913,0.6883,0.8182,0.6923,0.75,0.9975,0.006
clearscope,ProcessAll,Sparse,0.9658,0.132,0.1739,0.9231,0.2927,0.9762,0.0065
clearscope,ProcessAll,Deep SVDD,0.9954,0.7845,0.9,0.6923,0.7826,0.9979,0.005
clearscope,ProcessAll,DAE,0.9845,0.5264,0.6,0.6923,0.6429,0.9959,0.008
clearscope,ProcessAll,VAE,0.9425,0.0772,0.1143,0.6154,0.1928,0.9725,0.0065
clearscope,ProcessAll,Beta-VAE,0.9639,0.1123,0.18,0.6923,0.2857,0.9815,0.006
clearscope,ProcessAll,GMVAE,0.957,0.1103,0.18,0.6923,0.2857,0.9815,0.007
clearscope,ProcessAll,Attention AE,0.9877,0.6033,0.7143,0.7692,0.7407,0.9971,0.009
clearscope,ProcessAll,LSTMAE,0.9872,0.567,0.75,0.6923,0.72,0.9971,0.0081
clearscope,ProcessAll,Robust,0.9874,0.5992,0.75,0.6923,0.72,0.9971,0.006
clearscope,ProcessAll,Contractive,0.9573,0.1148,0.1636,0.6923,0.2647,0.9794,0.007
clearscope,ProcessEvent,Baseline,0.9114,0.5759,0.875,0.5385,0.6667,0.9971,0.007
clearscope,ProcessEvent,Sparse,0.8557,0.1884,1.0,0.1538,0.2667,0.9955,0.006
