Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
5dir,ProcessParent_jina,Attention AE,0.8918,0.0275,0.0382,0.6667,0.0723,0.9302,0.0075
5dir,ProcessParent_jina,LSTMAE,0.8919,0.0275,0.0382,0.6667,0.0723,0.9302,0.006
5dir,ProcessParent_jina,Robust,0.7047,0.0175,0.036,0.4444,0.0667,0.9492,0.006
5dir,ProcessParent_jina,Contractive,0.6573,0.0184,0.0385,0.4444,0.0708,0.9524,0.006
cadets,ProcessAll_jina,Baseline,0.9991,0.1787,0.2941,0.4545,0.3571,0.9996,0.0515
cadets,ProcessAll_jina,Sparse,0.9527,0.0141,0.0408,0.3636,0.0734,0.9978,0.0521
cadets,ProcessAll_jina,Deep SVDD,0.6816,0.0692,0.25,0.3636,0.2963,0.9996,0.0194
cadets,ProcessAll_jina,DAE,0.9595,0.0109,0.0294,0.3636,0.0544,0.9969,0.043
cadets,ProcessAll_jina,VAE,0.9591,0.0134,0.036,0.3636,0.0656,0.9975,0.048
cadets,ProcessAll_jina,Beta-VAE,0.9608,0.015,0.0364,0.3636,0.0661,0.9975,0.0455
cadets,ProcessAll_jina,GMVAE,0.9552,0.0143,0.0408,0.3636,0.0734,0.9978,0.046
cadets,ProcessAll_jina,Attention AE,0.9558,0.0142,0.0408,0.3636,0.0734,0.9978,0.0674
cadets,ProcessAll_jina,LSTMAE,0.9988,0.1806,0.3333,0.4545,0.3846,0.9996,0.0554
cadets,ProcessAll_jina,Robust,0.9986,0.1522,0.3077,0.3636,0.3333,0.9996,0.0463
cadets,ProcessAll_jina,Contractive,0.9567,0.0148,0.0417,0.3636,0.0748,0.9978,0.0411
cadets,ProcessEvent_jina,Baseline,0.8863,0.0017,0.0029,0.0909,0.0057,0.9922,0.0421
cadets,ProcessEvent_jina,Sparse,0.7987,0.0008,0.0014,0.6364,0.0028,0.8881,0.0407
cadets,ProcessEvent_jina,Deep SVDD,0.5,0.0002,0.0002,1.0,0.0005,0.0002,0.023
cadets,ProcessEvent_jina,DAE,0.7719,0.0006,0.0009,0.6364,0.0018,0.8248,0.0417
cadets,ProcessEvent_jina,VAE,0.7952,0.0008,0.0013,0.6364,0.0025,0.878,0.0465
cadets,ProcessEvent_jina,Beta-VAE,0.7974,0.0008,0.0013,0.6364,0.0026,0.8785,0.0455
cadets,ProcessEvent_jina,GMVAE,0.7976,0.0008,0.0013,0.6364,0.0027,0.8846,0.0465
cadets,ProcessEvent_jina,Attention AE,0.7966,0.0008,0.0013,0.6364,0.0026,0.8818,0.0649
cadets,ProcessEvent_jina,LSTMAE,0.8705,0.0011,0.0017,0.3636,0.0034,0.9482,0.0542
cadets,ProcessEvent_jina,Robust,0.8742,0.0015,0.0028,0.3636,0.0056,0.9684,0.0421
cadets,ProcessEvent_jina,Contractive,0.803,0.0008,0.0014,0.6364,0.0027,0.887,0.043
cadets,ProcessExec_jina,Baseline,0.9989,0.5832,0.875,0.6364,0.7368,0.9999,0.039
cadets,ProcessExec_jina,Sparse,0.9707,0.1336,0.4,0.1818,0.25,0.9997,0.041
cadets,ProcessExec_jina,Deep SVDD,0.7727,0.4257,0.75,0.5455,0.6316,0.9998,0.02
cadets,ProcessExec_jina,DAE,0.9942,0.1305,1.0,0.0909,0.1667,0.9998,0.0411
cadets,ProcessExec_jina,VAE,0.9794,0.1034,1.0,0.0909,0.1667,0.9998,0.044
cadets,ProcessExec_jina,Beta-VAE,0.9801,0.1032,1.0,0.0909,0.1667,0.9998,0.043
cadets,ProcessExec_jina,GMVAE,0.9748,0.1337,0.4,0.1818,0.25,0.9997,0.043
cadets,ProcessExec_jina,Attention AE,0.9719,0.091,0.4,0.1818,0.25,0.9997,0.0645
cadets,ProcessExec_jina,LSTMAE,0.9996,0.5309,0.5833,0.6364,0.6087,0.9998,0.052
cadets,ProcessExec_jina,Robust,0.9988,0.4766,0.5833,0.6364,0.6087,0.9998,0.042
cadets,ProcessExec_jina,Contractive,0.9713,0.1202,0.25,0.1818,0.2105,0.9997,0.0395
cadets,ProcessNetflow_jina,Baseline,0.9392,0.2105,0.375,0.3,0.3333,0.9986,0.011
cadets,ProcessNetflow_jina,Sparse,0.867,0.0075,0.0179,0.1,0.0303,0.9925,0.012
cadets,ProcessNetflow_jina,Deep SVDD,0.9402,0.3124,0.3333,0.6,0.4286,0.9981,0.007
cadets,ProcessNetflow_jina,DAE,0.874,0.0112,0.05,0.1,0.0667,0.9967,0.011
cadets,ProcessNetflow_jina,VAE,0.8812,0.0084,0.025,0.1,0.04,0.9944,0.012
cadets,ProcessNetflow_jina,Beta-VAE,0.8776,0.008,0.0192,0.1,0.0323,0.993,0.012
cadets,ProcessNetflow_jina,GMVAE,0.8832,0.0137,0.0769,0.1,0.087,0.9976,0.012
cadets,ProcessNetflow_jina,Attention AE,0.8719,0.0078,0.0179,0.1,0.0303,0.9925,0.0155
cadets,ProcessNetflow_jina,LSTMAE,0.9353,0.1573,0.3333,0.3,0.3158,0.9985,0.013
cadets,ProcessNetflow_jina,Robust,0.9423,0.1485,0.2727,0.3,0.2857,0.9983,0.0095
cadets,ProcessNetflow_jina,Contractive,0.8709,0.0078,0.0179,0.1,0.0303,0.9925,0.01
cadets,ProcessParent_jina,Baseline,0.9234,0.3985,1.0,0.375,0.5455,0.9999,0.042
cadets,ProcessParent_jina,Sparse,0.9096,0.1261,1.0,0.125,0.2222,0.9998,0.0395
cadets,ProcessParent_jina,Deep SVDD,0.6875,0.2397,0.75,0.375,0.5,0.9999,0.021
cadets,ProcessParent_jina,DAE,0.9747,0.1323,1.0,0.125,0.2222,0.9998,0.0405
cadets,ProcessParent_jina,VAE,0.9117,0.0329,0.25,0.125,0.1667,0.9998,0.0477
cadets,ProcessParent_jina,Beta-VAE,0.9075,0.0167,0.125,0.125,0.125,0.9997,0.046
cadets,ProcessParent_jina,GMVAE,0.9131,0.1279,1.0,0.125,0.2222,0.9998,0.0425
cadets,ProcessParent_jina,Attention AE,0.9096,0.1261,1.0,0.125,0.2222,0.9998,0.064
cadets,ProcessParent_jina,LSTMAE,0.8908,0.5004,1.0,0.5,0.6667,0.9999,0.0519
cadets,ProcessParent_jina,Robust,0.9413,0.4446,0.8,0.5,0.6154,0.9999,0.0405
cadets,ProcessParent_jina,Contractive,0.9132,0.1278,1.0,0.125,0.2222,0.9998,0.0405
clearscope,ProcessAll_jina,Baseline,0.9913,0.7416,0.8182,0.6923,0.75,0.9975,0.006
clearscope,ProcessAll_jina,Sparse,0.9093,0.3944,1.0,0.3077,0.4706,0.9963,0.006
clearscope,ProcessAll_jina,Deep SVDD,0.9916,0.7686,0.9,0.6923,0.7826,0.9979,0.005
clearscope,ProcessAll_jina,DAE,0.9572,0.6638,1.0,0.5385,0.7,0.9975,0.005
clearscope,ProcessAll_jina,VAE,0.9188,0.3922,1.0,0.3077,0.4706,0.9963,0.006
clearscope,ProcessAll_jina,Beta-VAE,0.917,0.4191,1.0,0.3077,0.4706,0.9963,0.007
clearscope,ProcessAll_jina,GMVAE,0.9302,0.5501,1.0,0.4615,0.6316,0.9971,0.0081
clearscope,ProcessAll_jina,Attention AE,0.9095,0.3992,1.0,0.3077,0.4706,0.9963,0.007
clearscope,ProcessAll_jina,LSTMAE,0.9865,0.6215,0.75,0.6923,0.72,0.9971,0.006
clearscope,ProcessAll_jina,Robust,0.9869,0.5989,0.75,0.6923,0.72,0.9971,0.005
clearscope,ProcessAll_jina,Contractive,0.9092,0.3932,1.0,0.3077,0.4706,0.9963,0.005
clearscope,ProcessEvent_jina,Baseline,0.8904,0.4133,0.4118,0.5385,0.4667,0.9934,0.006
clearscope,ProcessEvent_jina,Sparse,0.8524,0.035,0.0533,0.3077,0.0909,0.9671,0.005
clearscope,ProcessEvent_jina,Deep SVDD,0.734,0.4951,0.8571,0.4615,0.6,0.9967,0.004
clearscope,ProcessEvent_jina,DAE,0.8556,0.0407,0.0682,0.4615,0.1188,0.9634,0.005
clearscope,ProcessEvent_jina,VAE,0.8693,0.0358,0.0909,0.0769,0.0833,0.991,0.006
clearscope,ProcessEvent_jina,Beta-VAE,0.8472,0.0379,0.0732,0.2308,0.1111,0.9803,0.006
clearscope,ProcessEvent_jina,GMVAE,0.8521,0.0346,0.0526,0.2308,0.0857,0.9737,0.007
clearscope,ProcessEvent_jina,Attention AE,0.9318,0.3549,0.3846,0.3846,0.3846,0.9934,0.006
clearscope,ProcessEvent_jina,LSTMAE,0.9133,0.3588,0.3529,0.4615,0.4,0.9926,0.008
clearscope,ProcessEvent_jina,Robust,0.9114,0.3909,0.3684,0.5385,0.4375,0.9926,0.005
clearscope,ProcessEvent_jina,Contractive,0.8521,0.0346,0.0526,0.2308,0.0857,0.9737,0.006
clearscope,ProcessExec_jina,Baseline,0.981,0.7523,1.0,0.6923,0.8182,0.9984,0.005
clearscope,ProcessExec_jina,Sparse,0.921,0.0879,0.129,0.9231,0.2264,0.9663,0.005
clearscope,ProcessExec_jina,Deep SVDD,0.9561,0.7494,1.0,0.6923,0.8182,0.9984,0.0045
clearscope,ProcessExec_jina,DAE,0.9721,0.7067,1.0,0.6923,0.8182,0.9984,0.005
clearscope,ProcessExec_jina,VAE,0.9217,0.0797,0.129,0.9231,0.2264,0.9663,0.006
clearscope,ProcessExec_jina,Beta-VAE,0.9282,0.0904,0.129,0.9231,0.2264,0.9663,0.005
clearscope,ProcessExec_jina,GMVAE,0.937,0.0865,0.129,0.9231,0.2264,0.9663,0.005
clearscope,ProcessExec_jina,Attention AE,0.8117,0.7152,1.0,0.6923,0.8182,0.9984,0.007
clearscope,ProcessExec_jina,LSTMAE,0.9667,0.7171,1.0,0.6923,0.8182,0.9984,0.006
clearscope,ProcessExec_jina,Robust,0.9874,0.7273,1.0,0.6923,0.8182,0.9984,0.005
clearscope,ProcessExec_jina,Contractive,0.9174,0.0878,0.129,0.9231,0.2264,0.9663,0.006
clearscope,ProcessNetflow_jina,Baseline,0.7668,0.2258,0.3333,0.5556,0.4167,0.9394,0.004
clearscope,ProcessNetflow_jina,Sparse,0.7533,0.1855,0.3,0.3333,0.3158,0.9437,0.004
clearscope,ProcessNetflow_jina,Deep SVDD,0.9615,0.4377,0.4211,0.8889,0.5714,0.9481,0.003
clearscope,ProcessNetflow_jina,DAE,0.7503,0.1807,0.3,0.3333,0.3158,0.9437,0.004
clearscope,ProcessNetflow_jina,VAE,0.6101,0.0766,0.1333,0.2222,0.1667,0.9134,0.004
clearscope,ProcessNetflow_jina,Beta-VAE,0.4835,0.055,0.0952,0.2222,0.1333,0.8874,0.004
clearscope,ProcessNetflow_jina,GMVAE,0.7698,0.1354,0.1562,0.5556,0.2439,0.8658,0.004
clearscope,ProcessNetflow_jina,Attention AE,0.7993,0.2614,0.5,0.4444,0.4706,0.961,0.0043
clearscope,ProcessNetflow_jina,LSTMAE,0.7573,0.1896,0.3,0.3333,0.3158,0.9437,0.004
clearscope,ProcessNetflow_jina,Robust,0.8153,0.3023,0.5,0.4444,0.4706,0.961,0.003
clearscope,ProcessNetflow_jina,Contractive,0.7533,0.1855,0.3,0.3333,0.3158,0.9437,0.005
clearscope,ProcessParent_jina,Baseline,,0.0,0.0,0.0,0.0,0.0,0.005
clearscope,ProcessParent_jina,Sparse,,0.0,0.0,0.0,0.0,0.0,0.003
clearscope,ProcessParent_jina,Deep SVDD,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent_jina,DAE,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent_jina,VAE,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent_jina,Beta-VAE,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent_jina,GMVAE,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent_jina,Attention AE,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent_jina,LSTMAE,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent_jina,Robust,,0.0,0.0,0.0,0.0,0.0,0.005
clearscope,ProcessParent_jina,Contractive,,0.0,0.0,0.0,0.0,0.0,0.003
theia,ProcessAll_jina,Baseline,0.9968,0.5016,0.503,0.83,0.6264,0.9982,0.057
theia,ProcessAll_jina,Sparse,0.7408,0.0035,0.0047,0.76,0.0094,0.7141,0.057
theia,ProcessAll_jina,Deep SVDD,0.5049,0.0051,0.3333,0.01,0.0194,0.9982,0.025
theia,ProcessAll_jina,DAE,0.9342,0.0253,0.0477,0.53,0.0875,0.9802,0.0511
theia,ProcessAll_jina,VAE,0.7115,0.0031,0.0039,0.74,0.0078,0.663,0.059
theia,ProcessAll_jina,Beta-VAE,0.7056,0.003,0.0039,0.74,0.0078,0.6631,0.0551
theia,ProcessAll_jina,GMVAE,0.7576,0.0037,0.0052,0.96,0.0103,0.6689,0.0575
theia,ProcessAll_jina,Attention AE,0.7552,0.0037,0.005,0.93,0.0099,0.6691,0.0795
