Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
5dir,ProcessParent_gte_large,Beta-VAE,0.6686,0.0091,0.0227,0.1111,0.0377,0.9769,0.005
5dir,ProcessParent_gte_large,GMVAE,0.7832,0.0158,0.0292,0.4444,0.0548,0.9374,0.006
5dir,ProcessParent_gte_large,Attention AE,0.675,0.0218,0.0404,0.4444,0.0741,0.9547,0.007
5dir,ProcessParent_gte_large,LSTMAE,0.8692,0.0242,0.0404,0.4444,0.0741,0.9547,0.007
5dir,ProcessParent_gte_large,Robust,0.4713,0.017,0.0388,0.4444,0.0714,0.9529,0.005
5dir,ProcessParent_gte_large,Contractive,0.6802,0.01,0.0213,0.1111,0.0357,0.9755,0.006
cadets,ProcessAll_gte_large,Baseline,0.9992,0.1886,0.2609,0.5455,0.3529,0.9995,0.0513
cadets,ProcessAll_gte_large,Sparse,0.9123,0.0025,0.005,0.1818,0.0098,0.991,0.048
cadets,ProcessAll_gte_large,Deep SVDD,0.6362,0.0384,0.1667,0.2727,0.2069,0.9995,0.0212
cadets,ProcessAll_gte_large,DAE,0.946,0.0027,0.004,0.7273,0.0079,0.9555,0.045
cadets,ProcessAll_gte_large,VAE,0.899,0.002,0.0041,0.0909,0.0078,0.9943,0.047
cadets,ProcessAll_gte_large,Beta-VAE,0.9149,0.0025,0.0059,0.0909,0.011,0.996,0.048
cadets,ProcessAll_gte_large,GMVAE,0.8847,0.0014,0.0021,0.6364,0.0041,0.925,0.0495
cadets,ProcessAll_gte_large,Attention AE,0.9045,0.0023,0.0046,0.2727,0.0091,0.9854,0.0674
cadets,ProcessAll_gte_large,LSTMAE,0.9991,0.1831,0.2414,0.6364,0.35,0.9994,0.056
cadets,ProcessAll_gte_large,Robust,0.9985,0.1232,0.2059,0.6364,0.3111,0.9993,0.042
cadets,ProcessAll_gte_large,Contractive,0.9048,0.0023,0.0047,0.2727,0.0093,0.9857,0.041
cadets,ProcessEvent_gte_large,Baseline,0.8993,0.0057,0.0152,0.2727,0.0287,0.9955,0.044
cadets,ProcessEvent_gte_large,Sparse,0.8235,0.0028,0.0065,0.4545,0.0128,0.9829,0.042
cadets,ProcessEvent_gte_large,Deep SVDD,0.4999,0.0002,0.0002,1.0,0.0005,0.0004,0.022
cadets,ProcessEvent_gte_large,DAE,0.7499,0.0007,0.0012,0.3636,0.0025,0.9286,0.044
cadets,ProcessEvent_gte_large,VAE,0.8171,0.0025,0.006,0.4545,0.0118,0.9814,0.045
cadets,ProcessEvent_gte_large,Beta-VAE,0.8204,0.0025,0.0064,0.4545,0.0126,0.9825,0.0455
cadets,ProcessEvent_gte_large,GMVAE,0.8154,0.0023,0.0052,0.4545,0.0104,0.9787,0.046
cadets,ProcessEvent_gte_large,Attention AE,0.8169,0.0023,0.0055,0.4545,0.0109,0.9798,0.066
cadets,ProcessEvent_gte_large,LSTMAE,0.9044,0.0037,0.0104,0.3636,0.0203,0.9914,0.0542
cadets,ProcessEvent_gte_large,Robust,0.8991,0.0047,0.0106,0.2727,0.0205,0.9936,0.043
cadets,ProcessEvent_gte_large,Contractive,0.8125,0.0021,0.0057,0.4545,0.0112,0.9804,0.041
cadets,ProcessExec_gte_large,Baseline,0.999,0.6558,0.875,0.6364,0.7368,0.9999,0.04
cadets,ProcessExec_gte_large,Sparse,0.9316,0.003,0.0058,0.3636,0.0115,0.9846,0.039
cadets,ProcessExec_gte_large,Deep SVDD,0.8181,0.5447,0.8571,0.5455,0.6667,0.9999,0.021
cadets,ProcessExec_gte_large,DAE,0.9964,0.0523,0.0833,0.2727,0.1277,0.9991,0.039
cadets,ProcessExec_gte_large,VAE,0.917,0.002,0.0039,0.2727,0.0076,0.9826,0.046
cadets,ProcessExec_gte_large,Beta-VAE,0.9323,0.0027,0.0046,0.4545,0.0092,0.9759,0.045
cadets,ProcessExec_gte_large,GMVAE,0.9263,0.0027,0.0058,0.3636,0.0114,0.9846,0.0442
cadets,ProcessExec_gte_large,Attention AE,0.9478,0.0037,0.0058,0.5455,0.0115,0.977,0.0658
cadets,ProcessExec_gte_large,LSTMAE,0.999,0.4857,0.6667,0.5455,0.6,0.9998,0.0518
cadets,ProcessExec_gte_large,Robust,0.9993,0.4802,0.5455,0.5455,0.5455,0.9998,0.0399
cadets,ProcessExec_gte_large,Contractive,0.9243,0.0027,0.0058,0.3636,0.0115,0.9846,0.039
cadets,ProcessNetflow_gte_large,Baseline,0.9314,0.4344,0.4,0.6,0.48,0.9985,0.01
cadets,ProcessNetflow_gte_large,Sparse,0.8781,0.0081,0.0233,0.1,0.0377,0.9941,0.01
cadets,ProcessNetflow_gte_large,Deep SVDD,0.9386,0.3577,0.4286,0.6,0.5,0.9986,0.0071
cadets,ProcessNetflow_gte_large,DAE,0.8884,0.014,0.025,0.1,0.04,0.9944,0.011
cadets,ProcessNetflow_gte_large,VAE,0.8644,0.0077,0.0196,0.1,0.0328,0.9931,0.012
cadets,ProcessNetflow_gte_large,Beta-VAE,0.8598,0.008,0.0227,0.1,0.037,0.9939,0.012
cadets,ProcessNetflow_gte_large,GMVAE,0.8785,0.0079,0.0208,0.1,0.0345,0.9935,0.011
cadets,ProcessNetflow_gte_large,Attention AE,0.8783,0.0079,0.0208,0.1,0.0345,0.9935,0.016
cadets,ProcessNetflow_gte_large,LSTMAE,0.9301,0.2569,0.2759,0.8,0.4103,0.9973,0.013
cadets,ProcessNetflow_gte_large,Robust,0.9306,0.2662,0.4,0.4,0.4,0.9986,0.01
cadets,ProcessNetflow_gte_large,Contractive,0.8771,0.0078,0.0208,0.1,0.0345,0.9935,0.01
cadets,ProcessParent_gte_large,Baseline,0.9571,0.4025,1.0,0.375,0.5455,0.9999,0.042
cadets,ProcessParent_gte_large,Sparse,0.9219,0.1277,1.0,0.125,0.2222,0.9998,0.04
cadets,ProcessParent_gte_large,Deep SVDD,0.6875,0.3022,0.75,0.375,0.5,0.9999,0.0203
cadets,ProcessParent_gte_large,DAE,0.9495,0.1337,1.0,0.125,0.2222,0.9998,0.0412
cadets,ProcessParent_gte_large,VAE,0.9243,0.0076,0.0435,0.125,0.0645,0.9994,0.047
cadets,ProcessParent_gte_large,Beta-VAE,0.9143,0.0075,0.0417,0.125,0.0625,0.9993,0.046
cadets,ProcessParent_gte_large,GMVAE,0.9441,0.1316,1.0,0.125,0.2222,0.9998,0.0489
cadets,ProcessParent_gte_large,Attention AE,0.9243,0.1277,1.0,0.125,0.2222,0.9998,0.0635
cadets,ProcessParent_gte_large,LSTMAE,0.8016,0.4586,0.6667,0.5,0.5714,0.9999,0.0505
cadets,ProcessParent_gte_large,Robust,0.894,0.4441,0.8,0.5,0.6154,0.9999,0.038
cadets,ProcessParent_gte_large,Contractive,0.9309,0.1296,1.0,0.125,0.2222,0.9998,0.039
