Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
5dir,ProcessParent,Contractive,0.6779,0.0616,0.1875,0.3333,0.24,0.9914,0.005
cadets,ProcessAll,Baseline,0.9971,0.0595,0.1111,0.2727,0.1579,0.9993,0.0504
cadets,ProcessAll,Sparse,0.9105,0.0026,0.0064,0.0909,0.0119,0.9963,0.0515
cadets,ProcessAll,Deep SVDD,0.5907,0.0244,0.1667,0.1818,0.1739,0.9996,0.024
cadets,ProcessAll,DAE,0.9148,0.0022,0.0054,0.0909,0.0102,0.9957,0.043
cadets,ProcessAll,VAE,0.9024,0.0022,0.0052,0.0909,0.0098,0.9955,0.0481
cadets,ProcessAll,Beta-VAE,0.905,0.0024,0.0057,0.0909,0.0107,0.9959,0.045
cadets,ProcessAll,GMVAE,0.8558,0.001,0.0013,0.4545,0.0026,0.9148,0.0491
cadets,ProcessAll,Attention AE,0.906,0.0024,0.0061,0.0909,0.0114,0.9961,0.065
cadets,ProcessAll,LSTMAE,0.9963,0.0454,0.0593,0.6364,0.1085,0.9974,0.057
cadets,ProcessAll,Robust,0.9956,0.0371,0.0556,0.2727,0.0923,0.9987,0.0435
cadets,ProcessAll,Contractive,0.9092,0.0025,0.0063,0.0909,0.0118,0.9963,0.044
cadets,ProcessEvent,Baseline,0.8742,0.0012,0.0018,0.3636,0.0036,0.9501,0.0454
cadets,ProcessEvent,Sparse,0.7861,0.0008,0.0012,0.7273,0.0024,0.8524,0.0435
cadets,ProcessEvent,Deep SVDD,0.4999,0.0002,0.0002,1.0,0.0005,0.0003,0.02
cadets,ProcessEvent,DAE,0.7559,0.0006,0.0008,0.6364,0.0015,0.7982,0.042
cadets,ProcessEvent,VAE,0.7865,0.0008,0.0012,0.7273,0.0024,0.8498,0.046
cadets,ProcessEvent,Beta-VAE,0.791,0.0007,0.0012,0.7273,0.0024,0.8493,0.048
cadets,ProcessEvent,GMVAE,0.7105,0.0006,0.0013,0.1818,0.0026,0.966,0.0492
cadets,ProcessEvent,Attention AE,0.7873,0.0008,0.0012,0.7273,0.0024,0.8518,0.064
cadets,ProcessEvent,LSTMAE,0.8604,0.001,0.0014,0.2727,0.0029,0.9537,0.054
cadets,ProcessEvent,Robust,0.8627,0.0012,0.002,0.3636,0.004,0.9559,0.041
cadets,ProcessEvent,Contractive,0.7869,0.0008,0.0012,0.7273,0.0024,0.8516,0.0414
cadets,ProcessExec,Baseline,0.9984,0.535,0.8333,0.4545,0.5882,0.9998,0.041
cadets,ProcessExec,Sparse,0.9523,0.0136,0.0265,0.4545,0.05,0.9958,0.04
cadets,ProcessExec,Deep SVDD,0.8181,0.4967,1.0,0.3636,0.5333,0.9998,0.019
cadets,ProcessExec,DAE,0.9664,0.0183,0.0365,0.6364,0.069,0.9958,0.04
cadets,ProcessExec,VAE,0.9497,0.0092,0.0191,0.3636,0.0364,0.9953,0.045
cadets,ProcessExec,Beta-VAE,0.9506,0.0096,0.0189,0.3636,0.0359,0.9952,0.047
cadets,ProcessExec,GMVAE,0.9706,0.0076,0.0158,0.6364,0.0308,0.9902,0.05
cadets,ProcessExec,Attention AE,0.9505,0.0123,0.0214,0.3636,0.0404,0.9958,0.063
cadets,ProcessExec,LSTMAE,0.9998,0.5414,0.6154,0.7273,0.6667,0.9998,0.052
cadets,ProcessExec,Robust,0.9989,0.4153,0.6667,0.3636,0.4706,0.9998,0.04
cadets,ProcessExec,Contractive,0.9528,0.0136,0.0263,0.4545,0.0498,0.9957,0.0405
cadets,ProcessNetflow,Baseline,0.9563,0.5018,0.45,0.9,0.6,0.9986,0.01
cadets,ProcessNetflow,Sparse,0.9287,0.1407,0.5,0.2,0.2857,0.9988,0.011
cadets,ProcessNetflow,Deep SVDD,0.9653,0.6147,0.5333,0.8,0.64,0.999,0.007
cadets,ProcessNetflow,DAE,0.9431,0.1498,0.3333,0.3,0.3158,0.9985,0.01
cadets,ProcessNetflow,VAE,0.8828,0.1311,0.4,0.2,0.2667,0.9987,0.011
cadets,ProcessNetflow,Beta-VAE,0.8926,0.1439,0.5,0.2,0.2857,0.9988,0.013
cadets,ProcessNetflow,GMVAE,0.8949,0.1398,0.375,0.3,0.3333,0.9986,0.011
cadets,ProcessNetflow,Attention AE,0.8813,0.1433,0.5,0.2,0.2857,0.9988,0.015
cadets,ProcessNetflow,LSTMAE,0.9736,0.2475,0.2667,0.8,0.4,0.9972,0.0142
cadets,ProcessNetflow,Robust,0.9564,0.4631,0.5,0.9,0.6429,0.9988,0.01
cadets,ProcessNetflow,Contractive,0.9108,0.1432,0.5,0.2,0.2857,0.9988,0.01
cadets,ProcessParent,Baseline,0.8633,0.2314,0.5,0.375,0.4286,0.9998,0.039
cadets,ProcessParent,Sparse,0.7433,0.0011,0.0062,0.125,0.0118,0.9963,0.039
cadets,ProcessParent,Deep SVDD,0.5625,0.2085,0.6667,0.25,0.3636,0.9998,0.02
cadets,ProcessParent,DAE,0.9577,0.0066,0.0179,0.375,0.0341,0.9962,0.0395
cadets,ProcessParent,VAE,0.7279,0.0004,0.0004,1.0,0.0009,0.5983,0.049
cadets,ProcessParent,Beta-VAE,0.7458,0.0004,0.001,0.125,0.0019,0.9767,0.047
cadets,ProcessParent,GMVAE,0.9345,0.0057,0.0191,0.375,0.0364,0.9964,0.05
cadets,ProcessParent,Attention AE,0.7431,0.0011,0.0062,0.125,0.0118,0.9963,0.0626
cadets,ProcessParent,LSTMAE,0.9026,0.3573,0.6,0.375,0.4615,0.9998,0.0504
cadets,ProcessParent,Robust,0.8795,0.29,0.75,0.375,0.5,0.9999,0.039
cadets,ProcessParent,Contractive,0.7406,0.0011,0.0062,0.125,0.0118,0.9963,0.038
clearscope,ProcessAll,Baseline,0.9898,0.4167,0.6,0.6923,0.6429,0.9959,0.006
clearscope,ProcessAll,Sparse,0.934,0.2479,0.6,0.2308,0.3333,0.9951,0.005
clearscope,ProcessAll,Deep SVDD,0.9965,0.7183,0.7692,0.7692,0.7692,0.9975,0.005
clearscope,ProcessAll,DAE,0.9589,0.2463,0.5,0.2308,0.3158,0.9947,0.006
clearscope,ProcessAll,VAE,0.8881,0.1202,0.3333,0.2308,0.2727,0.9934,0.005
clearscope,ProcessAll,Beta-VAE,0.9482,0.2434,0.6,0.2308,0.3333,0.9951,0.006
clearscope,ProcessAll,GMVAE,0.9475,0.2471,0.6,0.2308,0.3333,0.9951,0.006
clearscope,ProcessAll,Attention AE,0.9912,0.4681,0.5,0.6154,0.5517,0.9947,0.007
clearscope,ProcessAll,LSTMAE,0.9919,0.4866,0.5625,0.6923,0.6207,0.9955,0.006
clearscope,ProcessAll,Robust,0.9919,0.4711,0.6,0.6923,0.6429,0.9959,0.006
clearscope,ProcessAll,Contractive,0.9537,0.2588,0.6,0.2308,0.3333,0.9951,0.006
clearscope,ProcessEvent,Baseline,0.9298,0.6928,0.9,0.6923,0.7826,0.9979,0.006
clearscope,ProcessEvent,Sparse,0.9087,0.0563,0.0962,0.7692,0.1709,0.9601,0.005
clearscope,ProcessEvent,Deep SVDD,0.9348,0.5875,0.8,0.6154,0.6957,0.9971,0.005
clearscope,ProcessEvent,DAE,0.8968,0.0453,0.0787,0.5385,0.1373,0.9638,0.006
clearscope,ProcessEvent,VAE,0.887,0.1153,0.4,0.1538,0.2222,0.9942,0.009
clearscope,ProcessEvent,Beta-VAE,0.9108,0.0881,0.2857,0.1538,0.2,0.9934,0.006
clearscope,ProcessEvent,GMVAE,0.9008,0.0514,0.0874,0.6923,0.1552,0.9597,0.005
clearscope,ProcessEvent,Attention AE,0.9347,0.6402,1.0,0.5385,0.7,0.9975,0.007
clearscope,ProcessEvent,LSTMAE,0.9348,0.6489,1.0,0.5385,0.7,0.9975,0.006
clearscope,ProcessEvent,Robust,0.9594,0.6908,1.0,0.6154,0.7619,0.9979,0.005
clearscope,ProcessEvent,Contractive,0.8963,0.0433,0.0745,0.5385,0.1308,0.9618,0.006
clearscope,ProcessExec,Baseline,0.8412,0.6829,0.9,0.6923,0.7826,0.9979,0.006
clearscope,ProcessExec,Sparse,0.9015,0.2372,1.0,0.1538,0.2667,0.9955,0.006
clearscope,ProcessExec,Deep SVDD,0.7729,0.7363,1.0,0.6923,0.8182,0.9984,0.005
clearscope,ProcessExec,DAE,0.9695,0.7229,1.0,0.6923,0.8182,0.9984,0.006
clearscope,ProcessExec,VAE,0.8912,0.0889,0.2857,0.1538,0.2,0.9934,0.006
clearscope,ProcessExec,Beta-VAE,0.9044,0.2514,1.0,0.1538,0.2667,0.9955,0.0054
clearscope,ProcessExec,GMVAE,0.9011,0.2364,1.0,0.1538,0.2667,0.9955,0.0061
clearscope,ProcessExec,Attention AE,0.9483,0.6179,0.8182,0.6923,0.75,0.9975,0.007
clearscope,ProcessExec,LSTMAE,0.8296,0.6144,0.8182,0.6923,0.75,0.9975,0.007
clearscope,ProcessExec,Robust,0.9876,0.6831,0.9,0.6923,0.7826,0.9979,0.006
clearscope,ProcessExec,Contractive,0.9014,0.2372,1.0,0.1538,0.2667,0.9955,0.005
clearscope,ProcessNetflow,Baseline,0.8699,0.3694,0.4286,0.3333,0.375,0.9567,0.004
clearscope,ProcessNetflow,Sparse,0.7267,0.1604,0.2727,0.3333,0.3,0.9394,0.004
clearscope,ProcessNetflow,Deep SVDD,0.955,0.494,0.3889,0.7778,0.5185,0.9437,0.004
clearscope,ProcessNetflow,DAE,0.7698,0.2197,0.3333,0.5556,0.4167,0.9394,0.004
clearscope,ProcessNetflow,VAE,0.4494,0.0426,0.0464,1.0,0.0887,0.1991,0.004
clearscope,ProcessNetflow,Beta-VAE,0.6481,0.0972,0.1538,0.2222,0.1818,0.9221,0.004
clearscope,ProcessNetflow,GMVAE,0.7292,0.1637,0.3,0.3333,0.3158,0.9437,0.0042
clearscope,ProcessNetflow,Attention AE,0.7628,0.2241,0.4,0.4444,0.4211,0.9524,0.005
clearscope,ProcessNetflow,LSTMAE,0.7623,0.2212,0.3571,0.5556,0.4348,0.9437,0.005
clearscope,ProcessNetflow,Robust,0.8809,0.3681,1.0,0.2222,0.3636,0.9697,0.005
clearscope,ProcessNetflow,Contractive,0.7262,0.1579,0.25,0.3333,0.2857,0.9351,0.004
clearscope,ProcessParent,Baseline,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent,Sparse,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent,Deep SVDD,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent,DAE,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent,VAE,,0.0,0.0,0.0,0.0,0.0,0.003
clearscope,ProcessParent,Beta-VAE,,0.0,0.0,0.0,0.0,0.0,0.0043
clearscope,ProcessParent,GMVAE,,0.0,0.0,0.0,0.0,0.0,0.004
