Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
5dir,ProcessNetflow_qwen2_7b_bnb4bit,Robust,0.9231,0.4333,0.6667,0.5,0.5714,0.9565,0.006
5dir,ProcessNetflow_qwen2_7b_bnb4bit,Contractive,0.9385,0.6548,1.0,0.5,0.6667,0.971,0.007
5dir,ProcessParent_qwen2_7b_bnb4bit,Baseline,0.9326,0.0337,0.04,0.4444,0.0734,0.9542,0.01
5dir,ProcessParent_qwen2_7b_bnb4bit,Sparse,0.8971,0.0319,0.0455,0.4444,0.0825,0.9597,0.011
5dir,ProcessParent_qwen2_7b_bnb4bit,Deep SVDD,0.5,0.0041,0.0041,1.0,0.0081,0.0041,0.007
5dir,ProcessParent_qwen2_7b_bnb4bit,DAE,0.7987,0.031,0.0482,0.4444,0.087,0.9619,0.012
5dir,ProcessParent_qwen2_7b_bnb4bit,VAE,0.8731,0.0271,0.0404,0.4444,0.0741,0.9547,0.012
5dir,ProcessParent_qwen2_7b_bnb4bit,Beta-VAE,0.8866,0.0335,0.0504,0.7778,0.0946,0.9393,0.011
5dir,ProcessParent_qwen2_7b_bnb4bit,GMVAE,0.9356,0.0359,0.058,0.4444,0.1026,0.9683,0.01
5dir,ProcessParent_qwen2_7b_bnb4bit,Attention AE,0.8537,0.0743,0.1875,0.3333,0.24,0.9914,0.029
5dir,ProcessParent_qwen2_7b_bnb4bit,LSTMAE,0.8525,0.0742,0.1875,0.3333,0.24,0.9914,0.02
5dir,ProcessParent_qwen2_7b_bnb4bit,Robust,0.7435,0.0201,0.0388,0.4444,0.0714,0.9529,0.0103
5dir,ProcessParent_qwen2_7b_bnb4bit,Contractive,0.8925,0.0739,0.1667,0.3333,0.2222,0.9905,0.0113
cadets,ProcessAll_qwen2_7b_bnb4bit,Baseline,0.9967,0.0539,0.2,0.0909,0.125,0.9997,0.107
cadets,ProcessAll_qwen2_7b_bnb4bit,Sparse,0.992,0.0487,0.3333,0.0909,0.1429,0.9997,0.0985
cadets,ProcessAll_qwen2_7b_bnb4bit,Deep SVDD,0.5454,0.0229,0.25,0.0909,0.1333,0.9997,0.045
cadets,ProcessAll_qwen2_7b_bnb4bit,DAE,0.9959,0.0423,0.0741,0.1818,0.1053,0.9992,0.0958
cadets,ProcessAll_qwen2_7b_bnb4bit,VAE,0.9957,0.0589,0.3333,0.0909,0.1429,0.9997,0.0988
cadets,ProcessAll_qwen2_7b_bnb4bit,Beta-VAE,0.9955,0.0497,0.25,0.0909,0.1333,0.9997,0.0998
cadets,ProcessAll_qwen2_7b_bnb4bit,GMVAE,0.9959,0.0502,0.2,0.0909,0.125,0.9997,0.0985
cadets,ProcessAll_qwen2_7b_bnb4bit,Attention AE,0.1762,0.0002,0.0003,1.0,0.0005,0.0349,0.4771
cadets,ProcessAll_qwen2_7b_bnb4bit,LSTMAE,0.113,0.0001,0.0002,1.0,0.0005,0.0003,1.859
cadets,ProcessAll_qwen2_7b_bnb4bit,Robust,0.9941,0.0225,0.033,0.2727,0.0588,0.9979,0.0939
cadets,ProcessAll_qwen2_7b_bnb4bit,Contractive,0.9946,0.0383,0.1667,0.0909,0.1176,0.9997,0.0936
cadets,ProcessEvent_qwen2_7b_bnb4bit,Baseline,0.8774,0.0017,0.0031,0.1818,0.0061,0.9854,0.0957
cadets,ProcessEvent_qwen2_7b_bnb4bit,Sparse,0.8737,0.0014,0.0026,0.1818,0.0051,0.9828,0.0971
cadets,ProcessEvent_qwen2_7b_bnb4bit,Deep SVDD,0.5,0.0002,0.0002,1.0,0.0005,0.0002,0.045
cadets,ProcessEvent_qwen2_7b_bnb4bit,DAE,0.8866,0.0017,0.0027,0.3636,0.0053,0.9665,0.0962
cadets,ProcessEvent_qwen2_7b_bnb4bit,VAE,0.8408,0.0012,0.0021,0.2727,0.0041,0.9675,0.104
cadets,ProcessEvent_qwen2_7b_bnb4bit,Beta-VAE,0.8809,0.0013,0.002,0.2727,0.004,0.9665,0.103
cadets,ProcessEvent_qwen2_7b_bnb4bit,GMVAE,0.846,0.0017,0.0034,0.3636,0.0067,0.9738,0.1
cadets,ProcessEvent_qwen2_7b_bnb4bit,Attention AE,0.262,0.0002,0.0003,1.0,0.0005,0.0731,0.4534
cadets,ProcessEvent_qwen2_7b_bnb4bit,LSTMAE,0.1443,0.0001,0.0002,1.0,0.0005,0.0128,0.2769
cadets,ProcessEvent_qwen2_7b_bnb4bit,Robust,0.8975,0.0021,0.0037,0.3636,0.0073,0.9758,0.0961
cadets,ProcessEvent_qwen2_7b_bnb4bit,Contractive,0.867,0.0013,0.0021,0.4545,0.0041,0.9462,0.0949
cadets,ProcessExec_qwen2_7b_bnb4bit,Baseline,0.9993,0.6261,1.0,0.5455,0.7059,0.9999,0.0885
cadets,ProcessExec_qwen2_7b_bnb4bit,Sparse,0.9973,0.3669,0.375,0.5455,0.4444,0.9997,0.0914
cadets,ProcessExec_qwen2_7b_bnb4bit,Deep SVDD,0.5909,0.182,1.0,0.1818,0.3077,0.9998,0.0445
cadets,ProcessExec_qwen2_7b_bnb4bit,DAE,0.9992,0.616,0.8571,0.5455,0.6667,0.9999,0.0948
cadets,ProcessExec_qwen2_7b_bnb4bit,VAE,0.9991,0.58,0.75,0.5455,0.6316,0.9998,0.0968
cadets,ProcessExec_qwen2_7b_bnb4bit,Beta-VAE,0.9991,0.579,0.75,0.5455,0.6316,0.9998,0.1039
cadets,ProcessExec_qwen2_7b_bnb4bit,GMVAE,0.9991,0.619,1.0,0.5455,0.7059,0.9999,0.0979
cadets,ProcessExec_qwen2_7b_bnb4bit,Attention AE,0.8535,0.0019,0.0031,0.8182,0.0062,0.9357,0.4375
cadets,ProcessExec_qwen2_7b_bnb4bit,LSTMAE,0.4013,0.0003,0.0012,0.0909,0.0024,0.9816,0.2726
cadets,ProcessExec_qwen2_7b_bnb4bit,Robust,0.9995,0.4824,0.8333,0.4545,0.5882,0.9998,0.0881
cadets,ProcessExec_qwen2_7b_bnb4bit,Contractive,0.9907,0.488,1.0,0.4545,0.625,0.9999,0.0889
cadets,ProcessNetflow_qwen2_7b_bnb4bit,Baseline,0.9604,0.4621,0.6667,0.4,0.5,0.9991,0.0215
cadets,ProcessNetflow_qwen2_7b_bnb4bit,Sparse,0.9161,0.1899,0.2069,0.6,0.3077,0.9969,0.0201
cadets,ProcessNetflow_qwen2_7b_bnb4bit,Deep SVDD,0.4999,0.0012,0.0012,1.0,0.0023,0.0012,0.0122
cadets,ProcessNetflow_qwen2_7b_bnb4bit,DAE,0.9602,0.4129,0.5,0.5,0.5,0.9988,0.0202
cadets,ProcessNetflow_qwen2_7b_bnb4bit,VAE,0.9157,0.4266,0.8,0.4,0.5333,0.9992,0.0229
cadets,ProcessNetflow_qwen2_7b_bnb4bit,Beta-VAE,0.9845,0.3895,0.6667,0.4,0.5,0.9991,0.0217
cadets,ProcessNetflow_qwen2_7b_bnb4bit,GMVAE,0.979,0.5186,0.8,0.4,0.5333,0.9992,0.022
cadets,ProcessNetflow_qwen2_7b_bnb4bit,Attention AE,0.7624,0.0066,0.0144,0.4,0.0278,0.9674,0.0872
cadets,ProcessNetflow_qwen2_7b_bnb4bit,LSTMAE,0.758,0.0063,0.0123,0.4,0.0238,0.9618,0.0572
cadets,ProcessNetflow_qwen2_7b_bnb4bit,Robust,0.9673,0.4561,0.625,0.5,0.5556,0.9991,0.0202
cadets,ProcessNetflow_qwen2_7b_bnb4bit,Contractive,0.9555,0.2246,0.3333,0.5,0.4,0.9983,0.0209
cadets,ProcessParent_qwen2_7b_bnb4bit,Baseline,0.8224,0.3995,0.75,0.375,0.5,0.9999,0.1013
cadets,ProcessParent_qwen2_7b_bnb4bit,Sparse,0.9519,0.385,1.0,0.375,0.5455,0.9999,0.0905
cadets,ProcessParent_qwen2_7b_bnb4bit,Deep SVDD,0.5625,0.1252,1.0,0.125,0.2222,0.9998,0.042
cadets,ProcessParent_qwen2_7b_bnb4bit,DAE,0.8962,0.4382,1.0,0.375,0.5455,0.9999,0.0891
cadets,ProcessParent_qwen2_7b_bnb4bit,VAE,0.7404,0.399,1.0,0.375,0.5455,0.9999,0.0969
cadets,ProcessParent_qwen2_7b_bnb4bit,Beta-VAE,0.8369,0.3982,1.0,0.375,0.5455,0.9999,0.0965
cadets,ProcessParent_qwen2_7b_bnb4bit,GMVAE,0.8834,0.383,0.75,0.375,0.5,0.9999,0.0951
cadets,ProcessParent_qwen2_7b_bnb4bit,Attention AE,0.6784,0.2514,1.0,0.25,0.4,0.9999,0.436
cadets,ProcessParent_qwen2_7b_bnb4bit,LSTMAE,0.6745,0.0011,0.0026,0.125,0.0052,0.9914,0.2704
cadets,ProcessParent_qwen2_7b_bnb4bit,Robust,0.9514,0.1805,0.5,0.375,0.4286,0.9998,0.0887
cadets,ProcessParent_qwen2_7b_bnb4bit,Contractive,0.8604,0.2641,0.4286,0.375,0.4,0.9998,0.0868
clearscope,ProcessAll_qwen2_7b_bnb4bit,Baseline,0.987,0.3493,0.4737,0.6923,0.5625,0.9942,0.009
clearscope,ProcessAll_qwen2_7b_bnb4bit,Sparse,0.9604,0.1415,0.2,0.3846,0.2632,0.9885,0.01
clearscope,ProcessAll_qwen2_7b_bnb4bit,Deep SVDD,0.5767,0.1584,1.0,0.1538,0.2667,0.9955,0.006
clearscope,ProcessAll_qwen2_7b_bnb4bit,DAE,0.9885,0.3519,0.4545,0.7692,0.5714,0.9938,0.009
clearscope,ProcessAll_qwen2_7b_bnb4bit,VAE,0.9581,0.1899,0.3125,0.3846,0.3448,0.9922,0.011
clearscope,ProcessAll_qwen2_7b_bnb4bit,Beta-VAE,0.9428,0.1583,0.2,0.3846,0.2632,0.9885,0.0092
clearscope,ProcessAll_qwen2_7b_bnb4bit,GMVAE,0.9878,0.3561,0.5263,0.7692,0.625,0.9951,0.009
clearscope,ProcessAll_qwen2_7b_bnb4bit,Attention AE,0.209,0.0035,0.0054,1.0,0.0107,0.0099,0.028
clearscope,ProcessAll_qwen2_7b_bnb4bit,LSTMAE,0.2087,0.0035,0.0054,1.0,0.0107,0.0095,0.023
clearscope,ProcessAll_qwen2_7b_bnb4bit,Robust,0.99,0.3328,0.5,0.6923,0.5806,0.9947,0.0084
clearscope,ProcessAll_qwen2_7b_bnb4bit,Contractive,0.9591,0.2744,0.2162,0.6154,0.32,0.986,0.009
clearscope,ProcessEvent_qwen2_7b_bnb4bit,Baseline,0.9325,0.5116,0.75,0.4615,0.5714,0.9963,0.009
clearscope,ProcessEvent_qwen2_7b_bnb4bit,Sparse,0.8071,0.1439,0.1905,0.3077,0.2353,0.9893,0.009
clearscope,ProcessEvent_qwen2_7b_bnb4bit,Deep SVDD,0.5385,0.0819,1.0,0.0769,0.1429,0.9951,0.007
clearscope,ProcessEvent_qwen2_7b_bnb4bit,DAE,0.9077,0.3725,0.2903,0.6923,0.4091,0.9893,0.011
clearscope,ProcessEvent_qwen2_7b_bnb4bit,VAE,0.8635,0.128,1.0,0.0769,0.1429,0.9951,0.009
clearscope,ProcessEvent_qwen2_7b_bnb4bit,Beta-VAE,0.9147,0.1284,0.1154,0.2308,0.1538,0.9864,0.01
clearscope,ProcessEvent_qwen2_7b_bnb4bit,GMVAE,0.914,0.4176,0.8,0.3077,0.4444,0.9959,0.0095
clearscope,ProcessEvent_qwen2_7b_bnb4bit,Attention AE,0.2383,0.0039,0.0054,1.0,0.0107,0.0103,0.0292
clearscope,ProcessEvent_qwen2_7b_bnb4bit,LSTMAE,0.2384,0.0039,0.0054,1.0,0.0107,0.0103,0.02
clearscope,ProcessEvent_qwen2_7b_bnb4bit,Robust,0.9,0.5477,0.7273,0.6154,0.6667,0.9967,0.009
clearscope,ProcessEvent_qwen2_7b_bnb4bit,Contractive,0.91,0.2145,0.2258,0.5385,0.3182,0.9877,0.009
clearscope,ProcessExec_qwen2_7b_bnb4bit,Baseline,0.9806,0.629,0.9,0.6923,0.7826,0.9979,0.011
clearscope,ProcessExec_qwen2_7b_bnb4bit,Sparse,0.7716,0.5916,0.9,0.6923,0.7826,0.9979,0.01
clearscope,ProcessExec_qwen2_7b_bnb4bit,Deep SVDD,0.8461,0.694,1.0,0.6923,0.8182,0.9984,0.007
clearscope,ProcessExec_qwen2_7b_bnb4bit,DAE,0.9806,0.629,0.9,0.6923,0.7826,0.9979,0.01
clearscope,ProcessExec_qwen2_7b_bnb4bit,VAE,0.9165,0.5823,0.9,0.6923,0.7826,0.9979,0.01
clearscope,ProcessExec_qwen2_7b_bnb4bit,Beta-VAE,0.9561,0.5858,0.9,0.6923,0.7826,0.9979,0.01
clearscope,ProcessExec_qwen2_7b_bnb4bit,GMVAE,0.7709,0.5691,0.9,0.6923,0.7826,0.9979,0.0102
clearscope,ProcessExec_qwen2_7b_bnb4bit,Attention AE,0.6986,0.1634,1.0,0.1538,0.2667,0.9955,0.03
clearscope,ProcessExec_qwen2_7b_bnb4bit,LSTMAE,0.6984,0.1634,1.0,0.1538,0.2667,0.9955,0.0222
clearscope,ProcessExec_qwen2_7b_bnb4bit,Robust,0.9888,0.74,1.0,0.6923,0.8182,0.9984,0.009
clearscope,ProcessExec_qwen2_7b_bnb4bit,Contractive,0.986,0.6009,0.9,0.6923,0.7826,0.9979,0.0098
clearscope,ProcessNetflow_qwen2_7b_bnb4bit,Baseline,0.9494,0.683,0.8571,0.6667,0.75,0.9827,0.0206
