Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
5dir,ProcessParent_llama3_manual,VAE,0.6588,0.0291,0.0789,0.3333,0.1277,0.9814,0.012
5dir,ProcessParent_llama3_manual,Beta-VAE,0.6432,0.0254,0.075,0.3333,0.1224,0.9805,0.009
5dir,ProcessParent_llama3_manual,GMVAE,0.6633,0.0534,0.1579,0.3333,0.2143,0.99,0.01
5dir,ProcessParent_llama3_manual,Attention AE,0.6697,0.0492,0.1579,0.3333,0.2143,0.99,0.0352
5dir,ProcessParent_llama3_manual,LSTMAE,0.9072,0.0393,0.0656,0.4444,0.1143,0.9719,0.023
5dir,ProcessParent_llama3_manual,Robust,0.6871,0.0201,0.0471,0.4444,0.0851,0.961,0.0106
5dir,ProcessParent_llama3_manual,Contractive,0.6716,0.0468,0.15,0.3333,0.2069,0.9896,0.01
cadets,ProcessAll_llama3_manual,Baseline,0.9937,0.0348,0.1071,0.2727,0.1538,0.9993,0.1372
cadets,ProcessAll_llama3_manual,Sparse,0.9013,0.0087,0.0238,0.1818,0.0421,0.998,0.115
cadets,ProcessAll_llama3_manual,Deep SVDD,0.4999,0.0002,0.0002,1.0,0.0005,0.0002,0.0515
cadets,ProcessAll_llama3_manual,DAE,0.9115,0.0052,0.016,0.2727,0.0303,0.9957,0.1115
cadets,ProcessAll_llama3_manual,VAE,0.8877,0.0066,0.0233,0.1818,0.0412,0.9979,0.1182
cadets,ProcessAll_llama3_manual,Beta-VAE,0.8856,0.0059,0.0172,0.1818,0.0315,0.9973,0.1189
cadets,ProcessAll_llama3_manual,GMVAE,0.9014,0.0075,0.0227,0.1818,0.0404,0.9979,0.1216
cadets,ProcessAll_llama3_manual,Attention AE,0.8932,0.0066,0.0198,0.1818,0.0357,0.9976,0.5575
cadets,ProcessAll_llama3_manual,LSTMAE,0.9921,0.0249,0.0638,0.2727,0.1034,0.9988,0.7531
cadets,ProcessAll_llama3_manual,Robust,0.9949,0.0354,0.0909,0.2727,0.1364,0.9992,0.1032
cadets,ProcessAll_llama3_manual,Contractive,0.9019,0.0085,0.0238,0.1818,0.0421,0.998,0.1115
cadets,ProcessEvent_llama3_manual,Baseline,0.872,0.0013,0.0023,0.4545,0.0045,0.951,0.1015
cadets,ProcessEvent_llama3_manual,Sparse,0.8001,0.0009,0.0014,0.2727,0.0028,0.9529,0.1016
cadets,ProcessEvent_llama3_manual,Deep SVDD,0.5,0.0002,0.0002,1.0,0.0005,0.0002,0.045
cadets,ProcessEvent_llama3_manual,DAE,0.7614,0.0006,0.0008,0.3636,0.0016,0.8901,0.1105
cadets,ProcessEvent_llama3_manual,VAE,0.7958,0.0009,0.0014,0.4545,0.0028,0.9196,0.1087
cadets,ProcessEvent_llama3_manual,Beta-VAE,0.7889,0.0008,0.0011,0.2727,0.0023,0.9415,0.1107
cadets,ProcessEvent_llama3_manual,GMVAE,0.797,0.0009,0.0014,0.2727,0.0029,0.9536,0.1197
cadets,ProcessEvent_llama3_manual,Attention AE,0.7987,0.0008,0.0013,0.2727,0.0026,0.9496,0.5362
cadets,ProcessEvent_llama3_manual,LSTMAE,0.8724,0.0012,0.0017,0.4545,0.0034,0.9346,0.7241
cadets,ProcessEvent_llama3_manual,Robust,0.884,0.0023,0.0047,0.3636,0.0092,0.9809,0.1084
cadets,ProcessEvent_llama3_manual,Contractive,0.7953,0.0008,0.0013,0.2727,0.0026,0.9482,0.106
cadets,ProcessExec_llama3_manual,Baseline,0.9993,0.4333,0.8,0.3636,0.5,0.9998,0.1105
cadets,ProcessExec_llama3_manual,Sparse,0.8801,0.0046,0.04,0.0909,0.0556,0.9992,0.1137
cadets,ProcessExec_llama3_manual,Deep SVDD,0.7273,0.4395,0.8333,0.4545,0.5882,0.9998,0.0505
cadets,ProcessExec_llama3_manual,DAE,0.9739,0.0179,0.0652,0.2727,0.1053,0.9989,0.1196
cadets,ProcessExec_llama3_manual,VAE,0.8822,0.0014,0.0044,0.0909,0.0084,0.9948,0.127
cadets,ProcessExec_llama3_manual,Beta-VAE,0.8907,0.0016,0.0041,0.0909,0.0078,0.9943,0.1153
cadets,ProcessExec_llama3_manual,GMVAE,0.8872,0.0046,0.0385,0.0909,0.0541,0.9992,0.1152
cadets,ProcessExec_llama3_manual,Attention AE,0.8875,0.0318,0.3333,0.0909,0.1429,0.9997,0.5993
cadets,ProcessExec_llama3_manual,LSTMAE,0.9985,0.2887,0.4545,0.4545,0.4545,0.9997,0.7995
cadets,ProcessExec_llama3_manual,Robust,0.9996,0.4271,0.375,0.5455,0.4444,0.9997,0.114
cadets,ProcessExec_llama3_manual,Contractive,0.8792,0.0313,0.3333,0.0909,0.1429,0.9997,0.109
cadets,ProcessNetflow_llama3_manual,Baseline,0.9511,0.1868,0.2222,0.4,0.2857,0.9977,0.0245
cadets,ProcessNetflow_llama3_manual,Sparse,0.8414,0.2054,0.4444,0.4,0.4211,0.9987,0.027
cadets,ProcessNetflow_llama3_manual,Deep SVDD,0.9301,0.2897,0.4444,0.4,0.4211,0.9987,0.0147
cadets,ProcessNetflow_llama3_manual,DAE,0.8324,0.1059,0.5,0.2,0.2857,0.9988,0.0244
cadets,ProcessNetflow_llama3_manual,VAE,0.8414,0.182,0.3333,0.4,0.3636,0.9984,0.0255
