Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
5dir,ProcessParent,Contractive,0.4928,0.0102,0.04,0.1111,0.0588,0.9855,0.006
cadets,ProcessAll,Baseline,0.9994,0.4095,0.3529,0.5455,0.4286,0.9996,0.045
cadets,ProcessAll,Sparse,0.893,0.0036,0.0137,0.0909,0.0238,0.9982,0.044
cadets,ProcessAll,Deep SVDD,0.5452,0.0383,0.12,0.2727,0.1667,0.9993,0.021
cadets,ProcessAll,DAE,0.96,0.0039,0.0065,0.5455,0.0128,0.9795,0.0416
cadets,ProcessAll,VAE,0.8893,0.003,0.0105,0.0909,0.0189,0.9977,0.0429
cadets,ProcessAll,Beta-VAE,0.885,0.0022,0.0083,0.0909,0.0152,0.9971,0.0422
cadets,ProcessAll,GMVAE,0.9986,0.1677,0.3333,0.2727,0.3,0.9997,0.044
cadets,ProcessAll,Attention AE,0.8925,0.003,0.011,0.0909,0.0196,0.9978,0.0493
cadets,ProcessAll,LSTMAE,0.9993,0.4202,0.5,0.3636,0.4211,0.9998,0.0459
cadets,ProcessAll,Robust,0.9986,0.1832,0.2727,0.2727,0.2727,0.9996,0.0384
cadets,ProcessAll,Contractive,0.8961,0.0036,0.0135,0.0909,0.0235,0.9982,0.0382
cadets,ProcessEvent,Baseline,0.8883,0.0038,0.0096,0.1818,0.0182,0.9952,0.0375
cadets,ProcessEvent,Sparse,0.8023,0.0011,0.0025,0.0909,0.0048,0.9907,0.038
cadets,ProcessEvent,Deep SVDD,0.4999,0.0002,0.0002,1.0,0.0005,0.0003,0.019
cadets,ProcessEvent,DAE,0.7952,0.0009,0.0017,0.2727,0.0034,0.9606,0.037
cadets,ProcessEvent,VAE,0.8108,0.0013,0.0022,0.4545,0.0044,0.9493,0.0416
cadets,ProcessEvent,Beta-VAE,0.7988,0.0012,0.0029,0.1818,0.0056,0.9843,0.042
cadets,ProcessEvent,GMVAE,0.6287,0.0003,0.0004,0.8182,0.0008,0.5254,0.047
cadets,ProcessEvent,Attention AE,0.803,0.0012,0.0025,0.0909,0.0049,0.991,0.0475
cadets,ProcessEvent,LSTMAE,0.898,0.002,0.004,0.3636,0.0079,0.9776,0.0425
cadets,ProcessEvent,Robust,0.8956,0.0034,0.0085,0.3636,0.0167,0.9895,0.039
cadets,ProcessEvent,Contractive,0.7944,0.001,0.0023,0.0909,0.0045,0.9901,0.036
cadets,ProcessExec,Baseline,0.999,0.6322,0.7778,0.6364,0.7,0.9999,0.0351
cadets,ProcessExec,Sparse,0.9332,0.0328,0.3333,0.0909,0.1429,0.9997,0.0364
cadets,ProcessExec,Deep SVDD,0.8181,0.4766,0.6,0.5455,0.5714,0.9998,0.019
cadets,ProcessExec,DAE,0.9925,0.0384,0.0615,0.7273,0.1135,0.9972,0.0353
cadets,ProcessExec,VAE,0.9224,0.0019,0.0033,0.4545,0.0065,0.966,0.041
cadets,ProcessExec,Beta-VAE,0.9361,0.0033,0.0085,0.1818,0.0162,0.9946,0.0395
cadets,ProcessExec,GMVAE,0.9993,0.3568,0.3913,0.8182,0.5294,0.9996,0.0454
cadets,ProcessExec,Attention AE,0.931,0.0025,0.0037,0.4545,0.0073,0.9697,0.0465
cadets,ProcessExec,LSTMAE,0.9991,0.4645,0.4667,0.6364,0.5385,0.9997,0.0384
cadets,ProcessExec,Robust,0.9982,0.4553,0.7143,0.4545,0.5556,0.9998,0.034
cadets,ProcessExec,Contractive,0.9276,0.0025,0.0037,0.4545,0.0073,0.9696,0.035
cadets,ProcessNetflow,Baseline,0.9414,0.401,0.5,0.4,0.4444,0.9988,0.009
cadets,ProcessNetflow,Sparse,0.8709,0.0311,0.25,0.1,0.1429,0.9986,0.0113
cadets,ProcessNetflow,Deep SVDD,0.9406,0.4341,0.5714,0.4,0.4706,0.999,0.007
cadets,ProcessNetflow,DAE,0.8698,0.031,0.25,0.1,0.1429,0.9986,0.009
