Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
5dir,ProcessParent,Contractive,0.8151,0.022,0.0526,0.1111,0.0714,0.9882,0.006
cadets,ProcessAll,Baseline,0.9988,0.2024,0.2857,0.5455,0.375,0.9996,0.0532
cadets,ProcessAll,Sparse,0.9273,0.0018,0.0022,0.4545,0.0044,0.9499,0.0515
cadets,ProcessAll,Deep SVDD,0.5452,0.0044,0.0455,0.0909,0.0606,0.9993,0.0223
cadets,ProcessAll,DAE,0.9705,0.0046,0.0068,0.6364,0.0136,0.9773,0.0461
cadets,ProcessAll,VAE,0.9233,0.0017,0.0021,0.4545,0.0041,0.9459,0.0491
cadets,ProcessAll,Beta-VAE,0.9221,0.0016,0.002,0.6364,0.0041,0.9236,0.0494
cadets,ProcessAll,GMVAE,0.9269,0.0017,0.0023,0.6364,0.0045,0.9311,0.0495
cadets,ProcessAll,Attention AE,0.9239,0.0017,0.0022,0.7273,0.0043,0.918,0.0689
cadets,ProcessAll,LSTMAE,0.9986,0.1799,0.2609,0.5455,0.3529,0.9995,0.0592
cadets,ProcessAll,Robust,0.9982,0.1312,0.2174,0.4545,0.2941,0.9995,0.0468
cadets,ProcessAll,Contractive,0.9247,0.0017,0.0022,0.6364,0.0044,0.9295,0.0468
cadets,ProcessEvent,Baseline,0.9139,0.0041,0.008,0.3636,0.0156,0.9887,0.0458
cadets,ProcessEvent,Sparse,0.7439,0.0006,0.0008,0.5455,0.0016,0.828,0.0439
cadets,ProcessEvent,Deep SVDD,0.4999,0.0002,0.0002,1.0,0.0005,0.0003,0.0224
cadets,ProcessEvent,DAE,0.6932,0.0004,0.0007,0.6364,0.0014,0.779,0.046
cadets,ProcessEvent,VAE,0.732,0.0005,0.0007,0.7273,0.0015,0.7552,0.0506
cadets,ProcessEvent,Beta-VAE,0.7538,0.0005,0.0007,0.7273,0.0015,0.7552,0.0488
cadets,ProcessEvent,GMVAE,0.7319,0.0005,0.0008,0.7273,0.0015,0.7703,0.0501
cadets,ProcessEvent,Attention AE,0.743,0.0006,0.0008,0.4545,0.0015,0.8521,0.0672
cadets,ProcessEvent,LSTMAE,0.9087,0.0023,0.0034,0.3636,0.0068,0.974,0.0565
cadets,ProcessEvent,Robust,0.9064,0.0033,0.0069,0.2727,0.0135,0.9902,0.0432
cadets,ProcessEvent,Contractive,0.7399,0.0005,0.0008,0.7273,0.0016,0.7845,0.0454
cadets,ProcessExec,Baseline,0.9986,0.5918,0.7778,0.6364,0.7,0.9999,0.0434
cadets,ProcessExec,Sparse,0.9142,0.0386,0.3333,0.0909,0.1429,0.9997,0.0414
cadets,ProcessExec,Deep SVDD,0.8181,0.5266,0.7,0.6364,0.6667,0.9998,0.0235
cadets,ProcessExec,DAE,0.9954,0.2067,0.3529,0.5455,0.4286,0.9996,0.0413
cadets,ProcessExec,VAE,0.9084,0.0023,0.0062,0.1818,0.012,0.9927,0.0475
cadets,ProcessExec,Beta-VAE,0.9087,0.0023,0.0063,0.1818,0.0121,0.9927,0.0477
cadets,ProcessExec,GMVAE,0.9108,0.0097,0.0462,0.2727,0.0789,0.9984,0.0505
cadets,ProcessExec,Attention AE,0.9129,0.0097,0.0455,0.2727,0.0779,0.9984,0.0657
cadets,ProcessExec,LSTMAE,0.9991,0.4184,0.6667,0.5455,0.6,0.9998,0.0541
cadets,ProcessExec,Robust,0.9991,0.3987,0.6,0.5455,0.5714,0.9998,0.0477
cadets,ProcessExec,Contractive,0.9294,0.039,0.3333,0.0909,0.1429,0.9997,0.0415
