Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
5dir,ProcessParent,Contractive,0.6486,0.0159,0.0317,0.4444,0.0593,0.9424,0.0095
cadets,ProcessAll,Baseline,0.998,0.065,0.0845,0.5455,0.1463,0.9984,0.135
cadets,ProcessAll,Sparse,0.9125,0.0017,0.0028,0.6364,0.0056,0.9442,0.12
cadets,ProcessAll,Deep SVDD,0.5454,0.0229,0.25,0.0909,0.1333,0.9997,0.05
cadets,ProcessAll,DAE,0.9429,0.0024,0.0038,0.4545,0.0075,0.9707,0.112
cadets,ProcessAll,VAE,0.9048,0.0015,0.0023,0.5455,0.0045,0.9409,0.1204
cadets,ProcessAll,Beta-VAE,0.9115,0.0016,0.0026,0.6364,0.0052,0.9402,0.1165
cadets,ProcessAll,GMVAE,0.9117,0.0017,0.0028,0.6364,0.0056,0.9445,0.1198
cadets,ProcessAll,Attention AE,0.9103,0.0017,0.0028,0.6364,0.0056,0.9442,0.5854
cadets,ProcessAll,LSTMAE,0.9977,0.0543,0.0625,0.4545,0.1099,0.9982,0.8053
cadets,ProcessAll,Robust,0.9981,0.0636,0.0769,0.5455,0.1348,0.9983,0.1135
cadets,ProcessAll,Contractive,0.9128,0.0018,0.0029,0.6364,0.0057,0.9459,0.1115
cadets,ProcessEvent,Baseline,0.8846,0.0015,0.0024,0.1818,0.0047,0.9813,0.1177
cadets,ProcessEvent,Sparse,0.7558,0.0006,0.0008,0.3636,0.0016,0.886,0.1167
cadets,ProcessEvent,Deep SVDD,0.5,0.0002,0.0002,1.0,0.0005,0.0002,0.05
cadets,ProcessEvent,DAE,0.7523,0.0006,0.0009,0.8182,0.0018,0.772,0.116
cadets,ProcessEvent,VAE,0.8138,0.0008,0.0012,0.5455,0.0023,0.8846,0.127
cadets,ProcessEvent,Beta-VAE,0.7481,0.0006,0.0008,0.7273,0.0016,0.7814,0.121
cadets,ProcessEvent,GMVAE,0.7537,0.0006,0.0008,0.3636,0.0016,0.8898,0.1185
cadets,ProcessEvent,Attention AE,0.7699,0.0007,0.0009,0.3636,0.0018,0.9028,0.5942
cadets,ProcessEvent,LSTMAE,0.8736,0.0011,0.0014,0.6364,0.0029,0.8918,0.8305
cadets,ProcessEvent,Robust,0.9001,0.0019,0.0033,0.3636,0.0065,0.9727,0.113
cadets,ProcessEvent,Contractive,0.7621,0.0006,0.0009,0.3636,0.0017,0.8952,0.114
cadets,ProcessExec,Baseline,0.9997,0.3826,0.3333,0.9091,0.4878,0.9995,0.1113
cadets,ProcessExec,Sparse,0.8833,0.0124,0.125,0.0909,0.1053,0.9996,0.102
cadets,ProcessExec,Deep SVDD,0.6364,0.2729,1.0,0.2727,0.4286,0.9998,0.042
cadets,ProcessExec,DAE,0.9904,0.0941,0.25,0.4545,0.3226,0.9995,0.089
cadets,ProcessExec,VAE,0.8887,0.0033,0.0175,0.0909,0.0294,0.9985,0.094
cadets,ProcessExec,Beta-VAE,0.8946,0.0014,0.0034,0.0909,0.0066,0.9933,0.099
cadets,ProcessExec,GMVAE,0.8854,0.0124,0.125,0.0909,0.1053,0.9996,0.097
cadets,ProcessExec,Attention AE,0.8885,0.0124,0.125,0.0909,0.1053,0.9996,0.5925
cadets,ProcessExec,LSTMAE,0.9997,0.4617,0.4667,0.6364,0.5385,0.9997,0.6795
cadets,ProcessExec,Robust,0.9996,0.3118,0.2759,0.7273,0.4,0.9995,0.096
cadets,ProcessExec,Contractive,0.8876,0.0124,0.125,0.0909,0.1053,0.9996,0.089
cadets,ProcessNetflow,Baseline,0.9277,0.3738,0.5714,0.4,0.4706,0.999,0.02
cadets,ProcessNetflow,Sparse,0.8961,0.1184,1.0,0.1,0.1818,0.999,0.021
cadets,ProcessNetflow,Deep SVDD,0.9314,0.4503,0.4118,0.7,0.5185,0.9985,0.012
cadets,ProcessNetflow,DAE,0.8992,0.1174,1.0,0.1,0.1818,0.999,0.026
cadets,ProcessNetflow,VAE,0.8921,0.1144,1.0,0.1,0.1818,0.999,0.0271
cadets,ProcessNetflow,Beta-VAE,0.9308,0.1129,1.0,0.1,0.1818,0.999,0.0255
cadets,ProcessNetflow,GMVAE,0.8974,0.1153,1.0,0.1,0.1818,0.999,0.025
cadets,ProcessNetflow,Attention AE,0.8977,0.1153,1.0,0.1,0.1818,0.999,0.1133
cadets,ProcessNetflow,LSTMAE,0.9263,0.2749,0.5,0.4,0.4444,0.9988,0.0756
cadets,ProcessNetflow,Robust,0.9277,0.429,0.6667,0.4,0.5,0.9991,0.025
cadets,ProcessNetflow,Contractive,0.8986,0.1166,1.0,0.1,0.1818,0.999,0.021
cadets,ProcessParent,Baseline,0.9433,0.3583,0.75,0.375,0.5,0.9999,0.1052
cadets,ProcessParent,Sparse,0.8963,0.1258,1.0,0.125,0.2222,0.9998,0.1166
cadets,ProcessParent,Deep SVDD,0.5625,0.0627,0.5,0.125,0.2,0.9998,0.049
cadets,ProcessParent,DAE,0.9631,0.1297,1.0,0.125,0.2222,0.9998,0.099
cadets,ProcessParent,VAE,0.9002,0.0038,0.0169,0.125,0.0299,0.9985,0.0965
cadets,ProcessParent,Beta-VAE,0.8869,0.0018,0.0082,0.125,0.0154,0.9971,0.097
cadets,ProcessParent,GMVAE,0.893,0.1258,1.0,0.125,0.2222,0.9998,0.1023
cadets,ProcessParent,Attention AE,0.888,0.1258,1.0,0.125,0.2222,0.9998,0.5215
cadets,ProcessParent,LSTMAE,0.7311,0.289,1.0,0.25,0.4,0.9999,0.6825
cadets,ProcessParent,Robust,0.8954,0.256,1.0,0.25,0.4,0.9999,0.107
cadets,ProcessParent,Contractive,0.8987,0.1258,1.0,0.125,0.2222,0.9998,0.093
clearscope,ProcessAll,Baseline,0.9892,0.7328,1.0,0.6923,0.8182,0.9984,0.0101
clearscope,ProcessAll,Sparse,0.9603,0.762,0.7692,0.7692,0.7692,0.9975,0.011
clearscope,ProcessAll,Deep SVDD,0.9984,0.8735,1.0,0.6923,0.8182,0.9984,0.007
clearscope,ProcessAll,DAE,0.9721,0.6934,1.0,0.5385,0.7,0.9975,0.008
clearscope,ProcessAll,VAE,0.8493,0.0326,0.0811,0.2308,0.12,0.9819,0.008
clearscope,ProcessAll,Beta-VAE,0.8633,0.023,0.0346,0.7692,0.0662,0.884,0.009
clearscope,ProcessAll,GMVAE,0.9568,0.739,1.0,0.6154,0.7619,0.9979,0.017
clearscope,ProcessAll,Attention AE,0.9594,0.739,1.0,0.6154,0.7619,0.9979,0.033
clearscope,ProcessAll,LSTMAE,0.9889,0.7312,1.0,0.6923,0.8182,0.9984,0.0221
clearscope,ProcessAll,Robust,0.9904,0.7404,1.0,0.6923,0.8182,0.9984,0.0091
clearscope,ProcessAll,Contractive,0.9599,0.7182,0.75,0.6923,0.72,0.9971,0.0104
clearscope,ProcessEvent,Baseline,0.934,0.2446,0.2941,0.3846,0.3333,0.9918,0.013
clearscope,ProcessEvent,Sparse,0.8119,0.0164,0.0235,0.9231,0.0459,0.7948,0.01
clearscope,ProcessEvent,Deep SVDD,0.7555,0.5512,0.8571,0.4615,0.6,0.9967,0.015
clearscope,ProcessEvent,DAE,0.8444,0.0356,0.0676,0.3846,0.1149,0.9683,0.013
clearscope,ProcessEvent,VAE,0.7545,0.0137,0.0225,0.1538,0.0392,0.9597,0.01
clearscope,ProcessEvent,Beta-VAE,0.7998,0.0183,0.0268,0.3077,0.0494,0.9367,0.01
clearscope,ProcessEvent,GMVAE,0.8121,0.0165,0.0235,0.9231,0.0459,0.7948,0.011
