Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
5dir,ProcessParent,Contractive,0.5454,0.0388,0.0857,0.3333,0.1364,0.9828,0.005
cadets,ProcessAll,Baseline,0.9997,0.2926,0.3333,0.9091,0.4878,0.9995,0.043
cadets,ProcessAll,Sparse,0.9295,0.0068,0.0154,0.1818,0.0284,0.997,0.046
cadets,ProcessAll,Deep SVDD,0.6816,0.0754,0.2174,0.4545,0.2941,0.9995,0.02
cadets,ProcessAll,DAE,0.9795,0.0081,0.0104,0.7273,0.0204,0.9829,0.039
cadets,ProcessAll,VAE,0.9285,0.0061,0.0118,0.3636,0.0228,0.9924,0.044
cadets,ProcessAll,Beta-VAE,0.9268,0.0061,0.0166,0.2727,0.0312,0.9959,0.042
cadets,ProcessAll,GMVAE,0.9995,0.2431,0.4,0.5455,0.4615,0.9997,0.0459
cadets,ProcessAll,Attention AE,0.9279,0.0061,0.0128,0.1818,0.024,0.9964,0.049
cadets,ProcessAll,LSTMAE,0.9997,0.3505,0.36,0.8182,0.5,0.9996,0.0443
cadets,ProcessAll,Robust,0.9994,0.2125,0.375,0.5455,0.4444,0.9997,0.0375
cadets,ProcessAll,Contractive,0.9254,0.0043,0.0098,0.2727,0.0189,0.9931,0.037
cadets,ProcessEvent,Baseline,0.8894,0.0023,0.0052,0.2727,0.0103,0.9872,0.0391
cadets,ProcessEvent,Sparse,0.772,0.0006,0.0009,0.6364,0.0017,0.8203,0.0374
cadets,ProcessEvent,Deep SVDD,0.4998,0.0002,0.0002,1.0,0.0005,0.0002,0.018
cadets,ProcessEvent,DAE,0.8041,0.0007,0.0011,0.6364,0.0021,0.8535,0.037
cadets,ProcessEvent,VAE,0.7663,0.0006,0.0008,0.6364,0.0016,0.8013,0.044
cadets,ProcessEvent,Beta-VAE,0.7697,0.0006,0.0008,0.7273,0.0016,0.779,0.042
cadets,ProcessEvent,GMVAE,0.8819,0.0017,0.0027,0.2727,0.0053,0.9751,0.0452
cadets,ProcessEvent,Attention AE,0.7532,0.0006,0.0009,0.6364,0.0017,0.8175,0.049
cadets,ProcessEvent,LSTMAE,0.8942,0.0016,0.0025,0.3636,0.005,0.9648,0.045
cadets,ProcessEvent,Robust,0.9066,0.0023,0.004,0.3636,0.008,0.9778,0.0362
cadets,ProcessEvent,Contractive,0.7717,0.0006,0.0009,0.6364,0.0018,0.8283,0.039
cadets,ProcessExec,Baseline,0.9987,0.5862,0.7,0.6364,0.6667,0.9998,0.036
cadets,ProcessExec,Sparse,0.9347,0.0139,0.0309,0.5455,0.0585,0.9957,0.035
cadets,ProcessExec,Deep SVDD,0.8181,0.4455,0.5,0.6364,0.56,0.9998,0.018
cadets,ProcessExec,DAE,0.9969,0.1178,0.25,0.4545,0.3226,0.9995,0.0374
cadets,ProcessExec,VAE,0.9452,0.008,0.0182,0.5455,0.0352,0.9927,0.0411
cadets,ProcessExec,Beta-VAE,0.937,0.0095,0.0229,0.5455,0.044,0.9942,0.04
cadets,ProcessExec,GMVAE,0.9349,0.0137,0.0309,0.5455,0.0585,0.9957,0.04
cadets,ProcessExec,Attention AE,0.9405,0.014,0.0309,0.5455,0.0585,0.9957,0.047
cadets,ProcessExec,LSTMAE,0.9985,0.49,0.8,0.3636,0.5,0.9998,0.0411
cadets,ProcessExec,Robust,0.9995,0.4852,0.625,0.4545,0.5263,0.9998,0.035
cadets,ProcessExec,Contractive,0.9356,0.0139,0.0311,0.5455,0.0588,0.9957,0.036
cadets,ProcessNetflow,Baseline,0.9365,0.6457,0.5714,0.8,0.6667,0.9991,0.009
cadets,ProcessNetflow,Sparse,0.8691,0.0104,0.0417,0.1,0.0588,0.9963,0.009
cadets,ProcessNetflow,Deep SVDD,0.9585,0.5177,0.5,0.8,0.6154,0.9988,0.007
cadets,ProcessNetflow,DAE,0.9298,0.1683,0.3,0.3,0.3,0.9984,0.009
cadets,ProcessNetflow,VAE,0.8752,0.0098,0.037,0.1,0.0541,0.9959,0.01
cadets,ProcessNetflow,Beta-VAE,0.8569,0.0076,0.0111,0.8,0.0219,0.917,0.012
cadets,ProcessNetflow,GMVAE,0.8979,0.0753,0.3333,0.1,0.1538,0.9987,0.011
cadets,ProcessNetflow,Attention AE,0.8765,0.0079,0.0111,0.8,0.0219,0.917,0.011
cadets,ProcessNetflow,LSTMAE,0.9359,0.4516,0.6667,0.4,0.5,0.9991,0.01
cadets,ProcessNetflow,Robust,0.9361,0.4395,0.5455,0.6,0.5714,0.999,0.01
cadets,ProcessNetflow,Contractive,0.8781,0.0115,0.0417,0.1,0.0588,0.9963,0.009
cadets,ProcessParent,Baseline,0.9507,0.3284,0.75,0.375,0.5,0.9999,0.034
cadets,ProcessParent,Sparse,0.8768,0.0042,0.0183,0.25,0.0342,0.9975,0.034
cadets,ProcessParent,Deep SVDD,0.625,0.2085,0.6667,0.25,0.3636,0.9998,0.019
cadets,ProcessParent,DAE,0.9008,0.1374,1.0,0.125,0.2222,0.9998,0.0342
cadets,ProcessParent,VAE,0.8772,0.0026,0.0088,0.25,0.0169,0.9948,0.041
cadets,ProcessParent,Beta-VAE,0.8721,0.0023,0.0075,0.25,0.0147,0.994,0.043
cadets,ProcessParent,GMVAE,0.9316,0.2452,0.75,0.375,0.5,0.9999,0.043
cadets,ProcessParent,Attention AE,0.8767,0.0042,0.0183,0.25,0.0342,0.9975,0.045
cadets,ProcessParent,LSTMAE,0.8613,0.3444,0.6,0.375,0.4615,0.9998,0.039
cadets,ProcessParent,Robust,0.956,0.3588,0.75,0.375,0.5,0.9999,0.0342
cadets,ProcessParent,Contractive,0.8713,0.004,0.0182,0.25,0.0339,0.9975,0.035
clearscope,ProcessAll,Baseline,0.9971,0.6962,0.7692,0.7692,0.7692,0.9975,0.005
clearscope,ProcessAll,Sparse,0.9751,0.2315,0.5,0.2308,0.3158,0.9947,0.005
clearscope,ProcessAll,Deep SVDD,0.9977,0.7751,0.8333,0.7692,0.8,0.9979,0.004
clearscope,ProcessAll,DAE,0.9869,0.5596,0.8182,0.6923,0.75,0.9975,0.006
