Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
5dir,ProcessParent,Contractive,0.6799,0.0323,0.0811,0.3333,0.1304,0.9819,0.005
cadets,ProcessAll,Baseline,0.9995,0.2749,0.3478,0.7273,0.4706,0.9996,0.049
cadets,ProcessAll,Sparse,0.946,0.0052,0.0118,0.1818,0.0221,0.9961,0.0505
cadets,ProcessAll,Deep SVDD,0.6362,0.105,0.2941,0.4545,0.3571,0.9996,0.023
cadets,ProcessAll,DAE,0.9634,0.0073,0.0124,0.4545,0.0241,0.991,0.0512
cadets,ProcessAll,VAE,0.9475,0.0048,0.0089,0.1818,0.0169,0.9948,0.0491
cadets,ProcessAll,Beta-VAE,0.9489,0.0059,0.0135,0.2727,0.0258,0.9949,0.048
cadets,ProcessAll,GMVAE,0.8871,0.0012,0.0018,0.8182,0.0036,0.8892,0.0517
cadets,ProcessAll,Attention AE,0.9467,0.0052,0.0115,0.1818,0.0216,0.996,0.0674
cadets,ProcessAll,LSTMAE,0.9994,0.2772,0.381,0.7273,0.5,0.9996,0.058
cadets,ProcessAll,Robust,0.999,0.2018,0.3333,0.7273,0.4571,0.9996,0.046
cadets,ProcessAll,Contractive,0.9471,0.0065,0.0129,0.1818,0.0241,0.9964,0.0415
cadets,ProcessEvent,Baseline,0.9259,0.0052,0.0149,0.3636,0.0286,0.9939,0.045
cadets,ProcessEvent,Sparse,0.8137,0.001,0.0013,0.6364,0.0026,0.8809,0.0436
cadets,ProcessEvent,Deep SVDD,0.4999,0.0002,0.0002,1.0,0.0005,0.0002,0.0195
cadets,ProcessEvent,DAE,0.805,0.0009,0.0012,0.5455,0.0025,0.892,0.0442
cadets,ProcessEvent,VAE,0.8066,0.0009,0.0012,0.7273,0.0024,0.8491,0.0474
cadets,ProcessEvent,Beta-VAE,0.8088,0.0009,0.0013,0.6364,0.0025,0.8772,0.0475
cadets,ProcessEvent,GMVAE,0.848,0.0012,0.0019,0.4545,0.0039,0.9427,0.0515
cadets,ProcessEvent,Attention AE,0.8127,0.0009,0.0014,0.5455,0.0028,0.9042,0.0708
cadets,ProcessEvent,LSTMAE,0.9144,0.0033,0.0067,0.3636,0.0131,0.9866,0.057
cadets,ProcessEvent,Robust,0.9161,0.0055,0.0154,0.3636,0.0295,0.9941,0.044
cadets,ProcessEvent,Contractive,0.8109,0.0009,0.0013,0.6364,0.0026,0.8816,0.04
cadets,ProcessExec,Baseline,0.9989,0.4609,0.5,0.5455,0.5217,0.9998,0.0395
cadets,ProcessExec,Sparse,0.9247,0.0059,0.0117,0.3636,0.0227,0.9923,0.04
cadets,ProcessExec,Deep SVDD,0.7272,0.3878,0.7143,0.4545,0.5556,0.9998,0.019
cadets,ProcessExec,DAE,0.9634,0.0099,0.0152,0.4545,0.0294,0.9926,0.0391
cadets,ProcessExec,VAE,0.9282,0.0049,0.0086,0.4545,0.0169,0.987,0.0441
cadets,ProcessExec,Beta-VAE,0.926,0.0037,0.0081,0.4545,0.0159,0.9862,0.0444
cadets,ProcessExec,GMVAE,0.9284,0.0059,0.0117,0.3636,0.0227,0.9923,0.044
cadets,ProcessExec,Attention AE,0.9286,0.006,0.0116,0.3636,0.0224,0.9922,0.0644
cadets,ProcessExec,LSTMAE,0.9998,0.532,0.6364,0.6364,0.6364,0.9998,0.0525
cadets,ProcessExec,Robust,0.999,0.3886,0.6667,0.3636,0.4706,0.9998,0.04
cadets,ProcessExec,Contractive,0.9312,0.006,0.0117,0.3636,0.0226,0.9923,0.04
cadets,ProcessNetflow,Baseline,0.9393,0.2492,0.4,0.4,0.4,0.9986,0.01
cadets,ProcessNetflow,Sparse,0.9074,0.2064,0.3571,0.5,0.4167,0.9984,0.0095
cadets,ProcessNetflow,Deep SVDD,0.9498,0.3633,0.5714,0.4,0.4706,0.999,0.0075
cadets,ProcessNetflow,DAE,0.9103,0.2133,0.4167,0.5,0.4545,0.9986,0.009
cadets,ProcessNetflow,VAE,0.8887,0.1764,0.25,0.4,0.3077,0.9979,0.0115
cadets,ProcessNetflow,Beta-VAE,0.926,0.1987,0.3333,0.5,0.4,0.9983,0.011
cadets,ProcessNetflow,GMVAE,0.9101,0.1574,0.3333,0.3,0.3158,0.9985,0.013
cadets,ProcessNetflow,Attention AE,0.9075,0.2124,0.4167,0.5,0.4545,0.9986,0.015
cadets,ProcessNetflow,LSTMAE,0.9381,0.1781,0.3,0.3,0.3,0.9984,0.0142
cadets,ProcessNetflow,Robust,0.9388,0.2207,0.4,0.4,0.4,0.9986,0.009
cadets,ProcessNetflow,Contractive,0.9075,0.2124,0.4167,0.5,0.4545,0.9986,0.011
cadets,ProcessParent,Baseline,0.8562,0.444,0.8,0.5,0.6154,0.9999,0.0391
cadets,ProcessParent,Sparse,0.9168,0.127,1.0,0.125,0.2222,0.9998,0.039
cadets,ProcessParent,Deep SVDD,0.625,0.2085,0.6667,0.25,0.3636,0.9998,0.02
cadets,ProcessParent,DAE,0.9272,0.1283,1.0,0.125,0.2222,0.9998,0.0391
cadets,ProcessParent,VAE,0.896,0.0063,0.0417,0.125,0.0625,0.9993,0.0455
cadets,ProcessParent,Beta-VAE,0.8975,0.0072,0.05,0.125,0.0714,0.9994,0.045
cadets,ProcessParent,GMVAE,0.9032,0.1261,1.0,0.125,0.2222,0.9998,0.05
cadets,ProcessParent,Attention AE,0.9061,0.1269,1.0,0.125,0.2222,0.9998,0.0625
cadets,ProcessParent,LSTMAE,0.5709,0.3438,0.75,0.375,0.5,0.9999,0.0515
cadets,ProcessParent,Robust,0.9479,0.3743,0.5714,0.5,0.5333,0.9998,0.0395
cadets,ProcessParent,Contractive,0.9106,0.127,1.0,0.125,0.2222,0.9998,0.038
clearscope,ProcessAll,Baseline,0.9882,0.6062,0.9,0.6923,0.7826,0.9979,0.005
clearscope,ProcessAll,Sparse,0.9501,0.2418,0.1837,0.6923,0.2903,0.9819,0.006
clearscope,ProcessAll,Deep SVDD,0.9956,0.799,1.0,0.6923,0.8182,0.9984,0.006
clearscope,ProcessAll,DAE,0.9658,0.3207,0.3333,0.6154,0.4324,0.9914,0.006
clearscope,ProcessAll,VAE,0.9573,0.1836,0.18,0.6923,0.2857,0.9815,0.006
clearscope,ProcessAll,Beta-VAE,0.946,0.2395,0.4286,0.2308,0.3,0.9942,0.0055
clearscope,ProcessAll,GMVAE,0.9621,0.2926,0.3,0.6923,0.4186,0.9897,0.006
clearscope,ProcessAll,Attention AE,0.9536,0.235,0.18,0.6923,0.2857,0.9815,0.008
clearscope,ProcessAll,LSTMAE,0.9893,0.5551,0.8182,0.6923,0.75,0.9975,0.008
clearscope,ProcessAll,Robust,0.9886,0.5576,0.8182,0.6923,0.75,0.9975,0.006
clearscope,ProcessAll,Contractive,0.9568,0.2808,0.25,0.6154,0.3556,0.9881,0.0055
clearscope,ProcessEvent,Baseline,0.9082,0.387,0.5,0.4615,0.48,0.9947,0.005
clearscope,ProcessEvent,Sparse,0.8811,0.2032,1.0,0.1538,0.2667,0.9955,0.005
clearscope,ProcessEvent,Deep SVDD,0.9288,0.5288,0.8571,0.4615,0.6,0.9967,0.005
clearscope,ProcessEvent,DAE,0.9065,0.2055,1.0,0.1538,0.2667,0.9955,0.006
clearscope,ProcessEvent,VAE,0.9008,0.2084,1.0,0.1538,0.2667,0.9955,0.005
clearscope,ProcessEvent,Beta-VAE,0.91,0.2389,0.5,0.2308,0.3158,0.9947,0.006
clearscope,ProcessEvent,GMVAE,0.881,0.2033,1.0,0.1538,0.2667,0.9955,0.006
clearscope,ProcessEvent,Attention AE,0.2401,0.0804,1.0,0.0769,0.1429,0.9951,0.007
clearscope,ProcessEvent,LSTMAE,0.9288,0.35,0.2917,0.5385,0.3784,0.9905,0.006
clearscope,ProcessEvent,Robust,0.9109,0.3531,1.0,0.2308,0.375,0.9959,0.006
clearscope,ProcessEvent,Contractive,0.905,0.2049,1.0,0.1538,0.2667,0.9955,0.0055
clearscope,ProcessExec,Baseline,0.8499,0.6916,0.9,0.6923,0.7826,0.9979,0.006
clearscope,ProcessExec,Sparse,0.9488,0.2371,1.0,0.1538,0.2667,0.9955,0.005
clearscope,ProcessExec,Deep SVDD,0.9677,0.7592,1.0,0.6923,0.8182,0.9984,0.004
clearscope,ProcessExec,DAE,0.9702,0.2392,1.0,0.1538,0.2667,0.9955,0.006
clearscope,ProcessExec,VAE,0.953,0.2486,0.3333,0.2308,0.2727,0.9934,0.006
clearscope,ProcessExec,Beta-VAE,0.9598,0.2242,1.0,0.1538,0.2667,0.9955,0.0055
clearscope,ProcessExec,GMVAE,0.9559,0.2228,1.0,0.1538,0.2667,0.9955,0.005
clearscope,ProcessExec,Attention AE,0.9363,0.6734,0.9,0.6923,0.7826,0.9979,0.007
clearscope,ProcessExec,LSTMAE,0.9359,0.6624,0.9,0.6923,0.7826,0.9979,0.006
clearscope,ProcessExec,Robust,0.7722,0.663,0.9,0.6923,0.7826,0.9979,0.006
clearscope,ProcessExec,Contractive,0.963,0.2379,1.0,0.1538,0.2667,0.9955,0.006
clearscope,ProcessNetflow,Baseline,0.8048,0.3006,0.75,0.3333,0.4615,0.9697,0.004
clearscope,ProcessNetflow,Sparse,0.7472,0.1637,0.2727,0.3333,0.3,0.9394,0.004
clearscope,ProcessNetflow,Deep SVDD,0.9775,0.5093,0.5625,1.0,0.72,0.9697,0.0035
clearscope,ProcessNetflow,DAE,0.7693,0.1672,0.2727,0.3333,0.3,0.9394,0.004
clearscope,ProcessNetflow,VAE,0.463,0.0384,0.0476,0.7778,0.0897,0.3853,0.004
clearscope,ProcessNetflow,Beta-VAE,0.477,0.0466,0.0548,0.4444,0.0976,0.6797,0.003
clearscope,ProcessNetflow,GMVAE,0.7452,0.1635,0.2727,0.3333,0.3,0.9394,0.004
clearscope,ProcessNetflow,Attention AE,0.8694,0.3229,0.6,0.3333,0.4286,0.9654,0.004
clearscope,ProcessNetflow,LSTMAE,0.7583,0.1819,0.2381,0.5556,0.3333,0.9134,0.004
clearscope,ProcessNetflow,Robust,0.8839,0.3225,0.6,0.3333,0.4286,0.9654,0.004
clearscope,ProcessNetflow,Contractive,0.7703,0.1683,0.2727,0.3333,0.3,0.9394,0.004
clearscope,ProcessParent,Baseline,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent,Sparse,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent,Deep SVDD,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent,DAE,,0.0,0.0,0.0,0.0,0.0,0.005
clearscope,ProcessParent,VAE,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent,Beta-VAE,,0.0,0.0,0.0,0.0,0.0,0.003
clearscope,ProcessParent,GMVAE,,0.0,0.0,0.0,0.0,0.0,0.003
clearscope,ProcessParent,Attention AE,,0.0,0.0,0.0,0.0,0.0,0.003
clearscope,ProcessParent,LSTMAE,,0.0,0.0,0.0,0.0,0.0,0.008
clearscope,ProcessParent,Robust,,0.0,0.0,0.0,0.0,0.0,0.003
clearscope,ProcessParent,Contractive,,0.0,0.0,0.0,0.0,0.0,0.003
theia,ProcessAll,Baseline,0.994,0.8527,0.7925,0.84,0.8155,0.9993,0.0566
theia,ProcessAll,Sparse,0.9365,0.018,0.0268,0.5,0.0509,0.9667,0.0585
theia,ProcessAll,Deep SVDD,0.7749,0.4914,0.918,0.56,0.6957,0.9991,0.0245
theia,ProcessAll,DAE,0.9825,0.3124,0.4796,0.47,0.4747,0.9981,0.05
theia,ProcessAll,VAE,0.9369,0.0165,0.0245,0.51,0.0467,0.9628,0.0568
theia,ProcessAll,Beta-VAE,0.9356,0.0167,0.0241,0.51,0.046,0.9622,0.0546
theia,ProcessAll,GMVAE,0.9375,0.0179,0.0268,0.5,0.0509,0.9667,0.0565
theia,ProcessAll,Attention AE,0.9358,0.0181,0.0265,0.85,0.0515,0.944,0.0812
theia,ProcessAll,LSTMAE,0.9969,0.7498,0.8676,0.59,0.7024,0.9991,0.065
theia,ProcessAll,Robust,0.9979,0.8091,0.6439,0.85,0.7328,0.9989,0.051
theia,ProcessAll,Contractive,0.9365,0.0179,0.0267,0.5,0.0506,0.9665,0.05
theia,ProcessEvent,Baseline,0.9991,0.6392,0.6259,0.87,0.728,0.9988,0.0483
theia,ProcessEvent,Sparse,0.5395,0.0024,0.0028,0.67,0.0056,0.5606,0.0512
theia,ProcessEvent,Deep SVDD,0.5,0.0018,0.0018,1.0,0.0037,0.0019,0.0245
theia,ProcessEvent,DAE,0.8768,0.011,0.0173,0.61,0.0337,0.9355,0.048
theia,ProcessEvent,VAE,0.4962,0.0018,0.0025,0.96,0.0049,0.2856,0.0553
theia,ProcessEvent,Beta-VAE,0.5169,0.002,0.0054,0.05,0.0097,0.9811,0.0537
theia,ProcessEvent,GMVAE,0.512,0.0022,0.0027,0.99,0.0053,0.3185,0.0541
theia,ProcessEvent,Attention AE,0.5112,0.0022,0.0037,0.01,0.0054,0.9932,0.0743
theia,ProcessEvent,LSTMAE,0.9965,0.4221,0.4715,0.58,0.5202,0.998,0.0625
theia,ProcessEvent,Robust,0.9993,0.7259,0.7016,0.87,0.7768,0.9991,0.0469
theia,ProcessEvent,Contractive,0.5271,0.0023,0.0037,0.01,0.0054,0.9932,0.0452
